V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
23.0,,8.8,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,500 to 999 employees
162.0,,3.4,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,500 to 999 employees
124.0,,3.9,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,500 to 999 employees
180.0,,3.2,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,500 to 999 employees
9.0,,15.0,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,500 to 999 employees
41.0,,6.8,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,500 to 999 employees
11.0,,13.0,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,500 to 999 employees
46.0,,6.5,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,500 to 999 employees
6273.0,,0.4,Year,2016,K02000001,,,"1,000 employees or more",,All,,Defined benefit,,"1,000 employees or more"
3039.0,,0.6,Year,2016,K02000001,,,"1,000 employees or more",,All,,Defined contribution,,"1,000 employees or more"
1269.0,,1.1,Year,2016,K02000001,,,"1,000 employees or more",,All,,Group personal pension,,"1,000 employees or more"
44.0,,6.1,Year,2016,K02000001,,,"1,000 employees or more",,All,,Group self-invested personal pension,,"1,000 employees or more"
508.0,,1.7,Year,2016,K02000001,,,"1,000 employees or more",,All,,Group stakeholder pension,,"1,000 employees or more"
119.0,,3.7,Year,2016,K02000001,,,"1,000 employees or more",,All,,Unknown pension provision,,"1,000 employees or more"
2647.0,,0.7,Year,2016,K02000001,,,"1,000 employees or more",,All,,No pension provision,,"1,000 employees or more"
164.0,,2.7,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,"1,000 employees or more"
78.0,,3.9,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,"1,000 employees or more"
12.0,,11.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,"1,000 employees or more"
,x,72.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,"1,000 employees or more"
5.0,,15.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,"1,000 employees or more"
,x,31.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,"1,000 employees or more"
548.0,,1.5,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,"1,000 employees or more"
378.0,,1.8,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,"1,000 employees or more"
288.0,,2.0,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,"1,000 employees or more"
56.0,,4.9,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,"1,000 employees or more"
,x,58.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,"1,000 employees or more"
49.0,,4.7,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,"1,000 employees or more"
8.0,,13.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,"1,000 employees or more"
665.0,,1.3,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,"1,000 employees or more"
595.0,,1.5,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,"1,000 employees or more"
501.0,,1.5,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,"1,000 employees or more"
122.0,,3.3,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,"1,000 employees or more"
,x,25.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,"1,000 employees or more"
73.0,,3.9,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,"1,000 employees or more"
17.0,,9.1,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,"1,000 employees or more"
423.0,,1.8,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,"1,000 employees or more"
819.0,,1.3,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,"1,000 employees or more"
564.0,,1.5,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,"1,000 employees or more"
224.0,,2.5,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,"1,000 employees or more"
4.0,,17.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,"1,000 employees or more"
102.0,,3.5,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,"1,000 employees or more"
25.0,,7.7,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,"1,000 employees or more"
357.0,,2.0,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,"1,000 employees or more"
879.0,,1.3,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,"1,000 employees or more"
414.0,,1.8,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,"1,000 employees or more"
199.0,,2.8,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,"1,000 employees or more"
5.0,,16.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,"1,000 employees or more"
69.0,,4.6,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,"1,000 employees or more"
18.0,,9.6,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,"1,000 employees or more"
216.0,,2.7,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,"1,000 employees or more"
791.0,,1.4,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,"1,000 employees or more"
301.0,,2.3,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,"1,000 employees or more"
155.0,,3.2,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,"1,000 employees or more"
5.0,,18.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,"1,000 employees or more"
55.0,,5.3,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,"1,000 employees or more"
12.0,,12.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,"1,000 employees or more"
150.0,,3.3,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,"1,000 employees or more"
2646.0,,0.7,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,"1,000 employees or more"
892.0,,1.4,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,"1,000 employees or more"
501.0,,1.9,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,"1,000 employees or more"
26.0,,8.3,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,"1,000 employees or more"
154.0,,3.4,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,"1,000 employees or more"
38.0,,6.9,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,"1,000 employees or more"
289.0,,2.5,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,"1,000 employees or more"
3174.0,,0.6,Year,2016,K02000001,,,Total,,Male,,Defined benefit,,All employees
2924.0,,0.7,Year,2016,K02000001,,,Total,,Male,,Defined contribution,,All employees
2317.0,,0.8,Year,2016,K02000001,,,Total,,Male,,Group personal pension,,All employees
115.0,,4.0,Year,2016,K02000001,,,Total,,Male,,Group self-invested personal pension,,All employees
728.0,,1.5,Year,2016,K02000001,,,Total,,Male,,Group stakeholder pension,,All employees
186.0,,3.0,Year,2016,K02000001,,,Total,,Male,,Unknown pension provision,,All employees
4272.0,,0.5,Year,2016,K02000001,,,Total,,Male,,No pension provision,,All employees
28.0,,7.2,Year,2016,K02000001,,,Less than £100,,Male,,Defined benefit,,All employees
46.0,,5.4,Year,2016,K02000001,,,Less than £100,,Male,,Defined contribution,,All employees
13.0,,11.0,Year,2016,K02000001,,,Less than £100,,Male,,Group personal pension,,All employees
,x,39.0,Year,2016,K02000001,,,Less than £100,,Male,,Group self-invested personal pension,,All employees
5.0,,16.0,Year,2016,K02000001,,,Less than £100,,Male,,Group stakeholder pension,,All employees
,x,42.0,Year,2016,K02000001,,,Less than £100,,Male,,Unknown pension provision,,All employees
436.0,,1.7,Year,2016,K02000001,,,Less than £100,,Male,,No pension provision,,All employees
60.0,,5.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined benefit,,All employees
117.0,,3.3,Year,2016,K02000001,,,£100 - £200,,Male,,Defined contribution,,All employees
31.0,,6.9,Year,2016,K02000001,,,£100 - £200,,Male,,Group personal pension,,All employees
,x,27.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group self-invested personal pension,,All employees
16.0,,8.7,Year,2016,K02000001,,,£100 - £200,,Male,,Group stakeholder pension,,All employees
5.0,,17.0,Year,2016,K02000001,,,£100 - £200,,Male,,Unknown pension provision,,All employees
595.0,,1.5,Year,2016,K02000001,,,£100 - £200,,Male,,No pension provision,,All employees
111.0,,3.6,Year,2016,K02000001,,,£200 - £300,,Male,,Defined benefit,,All employees
295.0,,2.0,Year,2016,K02000001,,,£200 - £300,,Male,,Defined contribution,,All employees
109.0,,3.7,Year,2016,K02000001,,,£200 - £300,,Male,,Group personal pension,,All employees
6.0,,17.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group self-invested personal pension,,All employees
45.0,,5.3,Year,2016,K02000001,,,£200 - £300,,Male,,Group stakeholder pension,,All employees
13.0,,10.0,Year,2016,K02000001,,,£200 - £300,,Male,,Unknown pension provision,,All employees
590.0,,1.6,Year,2016,K02000001,,,£200 - £300,,Male,,No pension provision,,All employees
305.0,,2.1,Year,2016,K02000001,,,£300 - £400,,Male,,Defined benefit,,All employees
510.0,,1.6,Year,2016,K02000001,,,£300 - £400,,Male,,Defined contribution,,All employees
318.0,,2.1,Year,2016,K02000001,,,£300 - £400,,Male,,Group personal pension,,All employees
9.0,,13.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group self-invested personal pension,,All employees
111.0,,3.6,Year,2016,K02000001,,,£300 - £400,,Male,,Group stakeholder pension,,All employees
33.0,,6.6,Year,2016,K02000001,,,£300 - £400,,Male,,Unknown pension provision,,All employees
749.0,,1.4,Year,2016,K02000001,,,£300 - £400,,Male,,No pension provision,,All employees
411.0,,1.9,Year,2016,K02000001,,,£400 - £500,,Male,,Defined benefit,,All employees
466.0,,1.8,Year,2016,K02000001,,,£400 - £500,,Male,,Defined contribution,,All employees
364.0,,2.1,Year,2016,K02000001,,,£400 - £500,,Male,,Group personal pension,,All employees
16.0,,10.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group self-invested personal pension,,All employees
118.0,,3.7,Year,2016,K02000001,,,£400 - £500,,Male,,Group stakeholder pension,,All employees
33.0,,7.0,Year,2016,K02000001,,,£400 - £500,,Male,,Unknown pension provision,,All employees
624.0,,1.6,Year,2016,K02000001,,,£400 - £500,,Male,,No pension provision,,All employees
413.0,,2.0,Year,2016,K02000001,,,£500 - £600,,Male,,Defined benefit,,All employees
383.0,,2.1,Year,2016,K02000001,,,£500 - £600,,Male,,Defined contribution,,All employees
323.0,,2.3,Year,2016,K02000001,,,£500 - £600,,Male,,Group personal pension,,All employees
14.0,,11.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group self-invested personal pension,,All employees
105.0,,4.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group stakeholder pension,,All employees
26.0,,8.2,Year,2016,K02000001,,,£500 - £600,,Male,,Unknown pension provision,,All employees
429.0,,2.0,Year,2016,K02000001,,,£500 - £600,,Male,,No pension provision,,All employees
1846.0,,0.9,Year,2016,K02000001,,,£600 and over,,Male,,Defined benefit,,All employees
1106.0,,1.2,Year,2016,K02000001,,,£600 and over,,Male,,Defined contribution,,All employees
1160.0,,1.2,Year,2016,K02000001,,,£600 and over,,Male,,Group personal pension,,All employees
66.0,,5.5,Year,2016,K02000001,,,£600 and over,,Male,,Group self-invested personal pension,,All employees
328.0,,2.4,Year,2016,K02000001,,,£600 and over,,Male,,Group stakeholder pension,,All employees
75.0,,5.0,Year,2016,K02000001,,,£600 and over,,Male,,Unknown pension provision,,All employees
849.0,,1.4,Year,2016,K02000001,,,£600 and over,,Male,,No pension provision,,All employees
21.0,,9.2,Year,2016,K02000001,,,1 to 12 employees,,Male,,Defined benefit,,1 to 12 employees
106.0,,4.1,Year,2016,K02000001,,,1 to 12 employees,,Male,,Defined contribution,,1 to 12 employees
61.0,,5.6,Year,2016,K02000001,,,1 to 12 employees,,Male,,Group personal pension,,1 to 12 employees
11.0,,13.0,Year,2016,K02000001,,,1 to 12 employees,,Male,,Group self-invested personal pension,,1 to 12 employees
34.0,,7.3,Year,2016,K02000001,,,1 to 12 employees,,Male,,Group stakeholder pension,,1 to 12 employees
9.0,,14.0,Year,2016,K02000001,,,1 to 12 employees,,Male,,Unknown pension provision,,1 to 12 employees
1208.0,,1.1,Year,2016,K02000001,,,1 to 12 employees,,Male,,No pension provision,,1 to 12 employees
,x,,Year,2016,K02000001,,,Less than £100,,Male,,Defined benefit,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,Less than £100,,Male,,Defined contribution,,1 to 12 employees
,x,51.0,Year,2016,K02000001,,,Less than £100,,Male,,Group personal pension,,1 to 12 employees
,-,0.0,Year,2016,K02000001,,,Less than £100,,Male,,Group self-invested personal pension,,1 to 12 employees
,x,41.0,Year,2016,K02000001,,,Less than £100,,Male,,Group stakeholder pension,,1 to 12 employees
,-,0.0,Year,2016,K02000001,,,Less than £100,,Male,,Unknown pension provision,,1 to 12 employees
86.0,,4.2,Year,2016,K02000001,,,Less than £100,,Male,,No pension provision,,1 to 12 employees
,x,28.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined benefit,,1 to 12 employees
6.0,,17.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined contribution,,1 to 12 employees
,x,34.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group personal pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group self-invested personal pension,,1 to 12 employees
,x,71.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group stakeholder pension,,1 to 12 employees
,x,52.0,Year,2016,K02000001,,,£100 - £200,,Male,,Unknown pension provision,,1 to 12 employees
223.0,,2.7,Year,2016,K02000001,,,£100 - £200,,Male,,No pension provision,,1 to 12 employees
,x,34.0,Year,2016,K02000001,,,£200 - £300,,Male,,Defined benefit,,1 to 12 employees
10.0,,13.0,Year,2016,K02000001,,,£200 - £300,,Male,,Defined contribution,,1 to 12 employees
,x,23.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group personal pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group self-invested personal pension,,1 to 12 employees
,x,33.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group stakeholder pension,,1 to 12 employees
,x,45.0,Year,2016,K02000001,,,£200 - £300,,Male,,Unknown pension provision,,1 to 12 employees
188.0,,3.0,Year,2016,K02000001,,,£200 - £300,,Male,,No pension provision,,1 to 12 employees
,x,24.0,Year,2016,K02000001,,,£300 - £400,,Male,,Defined benefit,,1 to 12 employees
18.0,,9.5,Year,2016,K02000001,,,£300 - £400,,Male,,Defined contribution,,1 to 12 employees
6.0,,17.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group personal pension,,1 to 12 employees
,x,31.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group self-invested personal pension,,1 to 12 employees
6.0,,17.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group stakeholder pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,£300 - £400,,Male,,Unknown pension provision,,1 to 12 employees
203.0,,2.9,Year,2016,K02000001,,,£300 - £400,,Male,,No pension provision,,1 to 12 employees
5.0,,19.0,Year,2016,K02000001,,,£400 - £500,,Male,,Defined benefit,,1 to 12 employees
18.0,,10.0,Year,2016,K02000001,,,£400 - £500,,Male,,Defined contribution,,1 to 12 employees
7.0,,16.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group personal pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group self-invested personal pension,,1 to 12 employees
6.0,,18.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group stakeholder pension,,1 to 12 employees
,x,36.0,Year,2016,K02000001,,,£400 - £500,,Male,,Unknown pension provision,,1 to 12 employees
186.0,,3.1,Year,2016,K02000001,,,£400 - £500,,Male,,No pension provision,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,£500 - £600,,Male,,Defined benefit,,1 to 12 employees
17.0,,10.0,Year,2016,K02000001,,,£500 - £600,,Male,,Defined contribution,,1 to 12 employees
6.0,,17.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group personal pension,,1 to 12 employees
,x,38.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group self-invested personal pension,,1 to 12 employees
5.0,,20.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group stakeholder pension,,1 to 12 employees
,x,32.0,Year,2016,K02000001,,,£500 - £600,,Male,,Unknown pension provision,,1 to 12 employees
128.0,,3.8,Year,2016,K02000001,,,£500 - £600,,Male,,No pension provision,,1 to 12 employees
8.0,,16.0,Year,2016,K02000001,,,£600 and over,,Male,,Defined benefit,,1 to 12 employees
34.0,,7.6,Year,2016,K02000001,,,£600 and over,,Male,,Defined contribution,,1 to 12 employees
35.0,,7.5,Year,2016,K02000001,,,£600 and over,,Male,,Group personal pension,,1 to 12 employees
,x,25.0,Year,2016,K02000001,,,£600 and over,,Male,,Group self-invested personal pension,,1 to 12 employees
16.0,,11.0,Year,2016,K02000001,,,£600 and over,,Male,,Group stakeholder pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,£600 and over,,Male,,Unknown pension provision,,1 to 12 employees
193.0,,3.2,Year,2016,K02000001,,,£600 and over,,Male,,No pension provision,,1 to 12 employees
133.0,,3.7,Year,2016,K02000001,,,13 to 99 employees,,Male,,Defined benefit,,13 to 99 employees
429.0,,2.0,Year,2016,K02000001,,,13 to 99 employees,,Male,,Defined contribution,,13 to 99 employees
578.0,,1.7,Year,2016,K02000001,,,13 to 99 employees,,Male,,Group personal pension,,13 to 99 employees
30.0,,7.9,Year,2016,K02000001,,,13 to 99 employees,,Male,,Group self-invested personal pension,,13 to 99 employees
164.0,,3.3,Year,2016,K02000001,,,13 to 99 employees,,Male,,Group stakeholder pension,,13 to 99 employees
55.0,,5.6,Year,2016,K02000001,,,13 to 99 employees,,Male,,Unknown pension provision,,13 to 99 employees
1368.0,,1.1,Year,2016,K02000001,,,13 to 99 employees,,Male,,No pension provision,,13 to 99 employees
,x,26.0,Year,2016,K02000001,,,Less than £100,,Male,,Defined benefit,,13 to 99 employees
6.0,,16.0,Year,2016,K02000001,,,Less than £100,,Male,,Defined contribution,,13 to 99 employees
,x,27.0,Year,2016,K02000001,,,Less than £100,,Male,,Group personal pension,,13 to 99 employees
,x,74.0,Year,2016,K02000001,,,Less than £100,,Male,,Group self-invested personal pension,,13 to 99 employees
,x,46.0,Year,2016,K02000001,,,Less than £100,,Male,,Group stakeholder pension,,13 to 99 employees
,x,58.0,Year,2016,K02000001,,,Less than £100,,Male,,Unknown pension provision,,13 to 99 employees
104.0,,3.8,Year,2016,K02000001,,,Less than £100,,Male,,No pension provision,,13 to 99 employees
,x,22.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined benefit,,13 to 99 employees
15.0,,10.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined contribution,,13 to 99 employees
7.0,,16.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group personal pension,,13 to 99 employees
,x,58.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group self-invested personal pension,,13 to 99 employees
,x,27.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group stakeholder pension,,13 to 99 employees
,x,36.0,Year,2016,K02000001,,,£100 - £200,,Male,,Unknown pension provision,,13 to 99 employees
124.0,,3.5,Year,2016,K02000001,,,£100 - £200,,Male,,No pension provision,,13 to 99 employees
10.0,,12.0,Year,2016,K02000001,,,£200 - £300,,Male,,Defined benefit,,13 to 99 employees
35.0,,6.5,Year,2016,K02000001,,,£200 - £300,,Male,,Defined contribution,,13 to 99 employees
24.0,,8.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group personal pension,,13 to 99 employees
,x,37.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group self-invested personal pension,,13 to 99 employees
6.0,,15.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group stakeholder pension,,13 to 99 employees
,x,23.0,Year,2016,K02000001,,,£200 - £300,,Male,,Unknown pension provision,,13 to 99 employees
158.0,,3.1,Year,2016,K02000001,,,£200 - £300,,Male,,No pension provision,,13 to 99 employees
18.0,,9.3,Year,2016,K02000001,,,£300 - £400,,Male,,Defined benefit,,13 to 99 employees
76.0,,4.5,Year,2016,K02000001,,,£300 - £400,,Male,,Defined contribution,,13 to 99 employees
78.0,,4.5,Year,2016,K02000001,,,£300 - £400,,Male,,Group personal pension,,13 to 99 employees
,x,29.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group self-invested personal pension,,13 to 99 employees
20.0,,8.9,Year,2016,K02000001,,,£300 - £400,,Male,,Group stakeholder pension,,13 to 99 employees
11.0,,12.0,Year,2016,K02000001,,,£300 - £400,,Male,,Unknown pension provision,,13 to 99 employees
251.0,,2.5,Year,2016,K02000001,,,£300 - £400,,Male,,No pension provision,,13 to 99 employees
21.0,,9.0,Year,2016,K02000001,,,£400 - £500,,Male,,Defined benefit,,13 to 99 employees
79.0,,4.7,Year,2016,K02000001,,,£400 - £500,,Male,,Defined contribution,,13 to 99 employees
95.0,,4.3,Year,2016,K02000001,,,£400 - £500,,Male,,Group personal pension,,13 to 99 employees
5.0,,18.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group self-invested personal pension,,13 to 99 employees
29.0,,7.6,Year,2016,K02000001,,,£400 - £500,,Male,,Group stakeholder pension,,13 to 99 employees
10.0,,13.0,Year,2016,K02000001,,,£400 - £500,,Male,,Unknown pension provision,,13 to 99 employees
235.0,,2.7,Year,2016,K02000001,,,£400 - £500,,Male,,No pension provision,,13 to 99 employees
16.0,,11.0,Year,2016,K02000001,,,£500 - £600,,Male,,Defined benefit,,13 to 99 employees
66.0,,5.2,Year,2016,K02000001,,,£500 - £600,,Male,,Defined contribution,,13 to 99 employees
90.0,,4.5,Year,2016,K02000001,,,£500 - £600,,Male,,Group personal pension,,13 to 99 employees
,x,29.0,Year,2016,K02000001,,,£500 - £600,,Male,,Group self-invested personal pension,,13 to 99 employees
25.0,,8.4,Year,2016,K02000001,,,£500 - £600,,Male,,Group stakeholder pension,,13 to 99 employees
8.0,,15.0,Year,2016,K02000001,,,£500 - £600,,Male,,Unknown pension provision,,13 to 99 employees
159.0,,3.3,Year,2016,K02000001,,,£500 - £600,,Male,,No pension provision,,13 to 99 employees
62.0,,5.6,Year,2016,K02000001,,,£600 and over,,Male,,Defined benefit,,13 to 99 employees
152.0,,3.5,Year,2016,K02000001,,,£600 and over,,Male,,Defined contribution,,13 to 99 employees
283.0,,2.6,Year,2016,K02000001,,,£600 and over,,Male,,Group personal pension,,13 to 99 employees
19.0,,10.0,Year,2016,K02000001,,,£600 and over,,Male,,Group self-invested personal pension,,13 to 99 employees
80.0,,4.9,Year,2016,K02000001,,,£600 and over,,Male,,Group stakeholder pension,,13 to 99 employees
22.0,,9.5,Year,2016,K02000001,,,£600 and over,,Male,,Unknown pension provision,,13 to 99 employees
336.0,,2.4,Year,2016,K02000001,,,£600 and over,,Male,,No pension provision,,13 to 99 employees
322.0,,2.4,Year,2016,K02000001,,,100 to 499 employees,,Male,,Defined benefit,,100 to 499 employees
465.0,,1.9,Year,2016,K02000001,,,100 to 499 employees,,Male,,Defined contribution,,100 to 499 employees
683.0,,1.6,Year,2016,K02000001,,,100 to 499 employees,,Male,,Group personal pension,,100 to 499 employees
31.0,,7.8,Year,2016,K02000001,,,100 to 499 employees,,Male,,Group self-invested personal pension,,100 to 499 employees
174.0,,3.2,Year,2016,K02000001,,,100 to 499 employees,,Male,,Group stakeholder pension,,100 to 499 employees
46.0,,6.0,Year,2016,K02000001,,,100 to 499 employees,,Male,,Unknown pension provision,,100 to 499 employees
450.0,,1.9,Year,2016,K02000001,,,100 to 499 employees,,Male,,No pension provision,,100 to 499 employees
5.0,,19.0,Year,2016,K02000001,,,Less than £100,,Male,,Defined benefit,,100 to 499 employees
6.0,,16.0,Year,2016,K02000001,,,Less than £100,,Male,,Defined contribution,,100 to 499 employees
4.0,,19.0,Year,2016,K02000001,,,Less than £100,,Male,,Group personal pension,,100 to 499 employees
,x,,Year,2016,K02000001,,,Less than £100,,Male,,Group self-invested personal pension,,100 to 499 employees
,x,31.0,Year,2016,K02000001,,,Less than £100,,Male,,Group stakeholder pension,,100 to 499 employees
,x,72.0,Year,2016,K02000001,,,Less than £100,,Male,,Unknown pension provision,,100 to 499 employees
57.0,,5.0,Year,2016,K02000001,,,Less than £100,,Male,,No pension provision,,100 to 499 employees
7.0,,15.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined benefit,,100 to 499 employees
12.0,,11.0,Year,2016,K02000001,,,£100 - £200,,Male,,Defined contribution,,100 to 499 employees
8.0,,13.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group personal pension,,100 to 499 employees
,-,0.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group self-invested personal pension,,100 to 499 employees
,x,34.0,Year,2016,K02000001,,,£100 - £200,,Male,,Group stakeholder pension,,100 to 499 employees
,x,59.0,Year,2016,K02000001,,,£100 - £200,,Male,,Unknown pension provision,,100 to 499 employees
51.0,,5.4,Year,2016,K02000001,,,£100 - £200,,Male,,No pension provision,,100 to 499 employees
14.0,,11.0,Year,2016,K02000001,,,£200 - £300,,Male,,Defined benefit,,100 to 499 employees
38.0,,6.1,Year,2016,K02000001,,,£200 - £300,,Male,,Defined contribution,,100 to 499 employees
27.0,,7.6,Year,2016,K02000001,,,£200 - £300,,Male,,Group personal pension,,100 to 499 employees
,x,41.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group self-invested personal pension,,100 to 499 employees
8.0,,14.0,Year,2016,K02000001,,,£200 - £300,,Male,,Group stakeholder pension,,100 to 499 employees
,x,21.0,Year,2016,K02000001,,,£200 - £300,,Male,,Unknown pension provision,,100 to 499 employees
61.0,,5.0,Year,2016,K02000001,,,£200 - £300,,Male,,No pension provision,,100 to 499 employees
32.0,,6.9,Year,2016,K02000001,,,£300 - £400,,Male,,Defined benefit,,100 to 499 employees
85.0,,4.2,Year,2016,K02000001,,,£300 - £400,,Male,,Defined contribution,,100 to 499 employees
94.0,,4.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group personal pension,,100 to 499 employees
,x,26.0,Year,2016,K02000001,,,£300 - £400,,Male,,Group self-invested personal pension,,100 to 499 employees
22.0,,8.2,Year,2016,K02000001,,,£300 - £400,,Male,,Group stakeholder pension,,100 to 499 employees
8.0,,14.0,Year,2016,K02000001,,,£300 - £400,,Male,,Unknown pension provision,,100 to 499 employees
85.0,,4.3,Year,2016,K02000001,,,£300 - £400,,Male,,No pension provision,,100 to 499 employees
44.0,,6.5,Year,2016,K02000001,,,£400 - £500,,Male,,Defined benefit,,100 to 499 employees
76.0,,4.6,Year,2016,K02000001,,,£400 - £500,,Male,,Defined contribution,,100 to 499 employees
109.0,,3.9,Year,2016,K02000001,,,£400 - £500,,Male,,Group personal pension,,100 to 499 employees
5.0,,19.0,Year,2016,K02000001,,,£400 - £500,,Male,,Group self-invested personal pension,,100 to 499 employees
29.0,,7.6,Year,2016,K02000001,,,£400 - £500,,Male,,Group stakeholder pension,,100 to 499 employees
10.0,,13.0,Year,2016,K02000001,,,£400 - £500,,Male,,Unknown pension provision,,100 to 499 employees
