V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision,Size of Company_codelist,Size of Company
,x,50.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,1 to 12 employees
96.1,,0.4,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,1 to 12 employees
1.5,,12.0,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,1 to 12 employees
2.9,,8.6,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,1 to 12 employees
1.2,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,1 to 12 employees
,x,23.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,1 to 12 employees
0.5,,20.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,1 to 12 employees
,x,31.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,1 to 12 employees
93.2,,0.4,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,1 to 12 employees
1.7,,13.0,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,1 to 12 employees
6.0,,7.1,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,1 to 12 employees
2.3,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,1 to 12 employees
1.4,,15.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,1 to 12 employees
,x,24.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,1 to 12 employees
87.5,,0.7,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,1 to 12 employees
2.0,,14.0,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,1 to 12 employees
7.8,,6.9,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,1 to 12 employees
3.3,,11.0,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,1 to 12 employees
,x,26.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,1 to 12 employees
2.6,,12.0,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,1 to 12 employees
,x,22.0,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,1 to 12 employees
82.9,,0.9,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,1 to 12 employees
2.2,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,1 to 12 employees
8.1,,7.6,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,1 to 12 employees
4.3,,10.0,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,1 to 12 employees
,x,29.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,1 to 12 employees
2.5,,14.0,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,1 to 12 employees
,x,25.0,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,1 to 12 employees
81.4,,1.1,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,1 to 12 employees
,x,21.0,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,1 to 12 employees
10.2,,8.7,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,1 to 12 employees
4.9,,13.0,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,1 to 12 employees
,x,30.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,1 to 12 employees
2.9,,17.0,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,1 to 12 employees
,x,28.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,1 to 12 employees
78.3,,1.5,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,1 to 12 employees
3.1,,13.0,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,1 to 12 employees
11.0,,6.5,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,1 to 12 employees
12.7,,6.0,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,1 to 12 employees
1.2,,20.0,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,1 to 12 employees
5.3,,9.5,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,1 to 12 employees
,x,23.0,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,1 to 12 employees
65.6,,1.6,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,1 to 12 employees
8.0,,1.9,Year,2016,K02000001,,,All,,All,,Defined benefit,,13 to 99 employees
14.6,,1.4,Year,2016,K02000001,,,All,,All,,Defined contribution,,13 to 99 employees
18.3,,1.2,Year,2016,K02000001,,,All,,All,,Group personal pension,,13 to 99 employees
0.9,,6.4,Year,2016,K02000001,,,All,,All,,Group self-invested personal pension,,13 to 99 employees
5.3,,2.5,Year,2016,K02000001,,,All,,All,,Group stakeholder pension,,13 to 99 employees
2.0,,4.1,Year,2016,K02000001,,,All,,All,,Unknown pension provision,,13 to 99 employees
50.9,,0.6,Year,2016,K02000001,,,All,,All,,No pension provision,,13 to 99 employees
4.5,,9.0,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,13 to 99 employees
4.8,,9.2,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,13 to 99 employees
1.9,,15.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,13 to 99 employees
,x,59.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,13 to 99 employees
1.0,,20.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,13 to 99 employees
,x,32.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,13 to 99 employees
87.3,,0.8,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,13 to 99 employees
7.8,,5.3,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,13 to 99 employees
9.2,,4.9,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,13 to 99 employees
5.4,,6.7,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,13 to 99 employees
,x,28.0,Year,2016,K02000001,,,£100 - £200,,All,,Group self-invested personal pension,,13 to 99 employees
2.2,,11.0,Year,2016,K02000001,,,£100 - £200,,All,,Group stakeholder pension,,13 to 99 employees
1.0,,16.0,Year,2016,K02000001,,,£100 - £200,,All,,Unknown pension provision,,13 to 99 employees
74.1,,0.9,Year,2016,K02000001,,,£100 - £200,,All,,No pension provision,,13 to 99 employees
9.4,,4.5,Year,2016,K02000001,,,£200 - £300,,All,,Defined benefit,,13 to 99 employees
15.1,,3.4,Year,2016,K02000001,,,£200 - £300,,All,,Defined contribution,,13 to 99 employees
11.1,,4.1,Year,2016,K02000001,,,£200 - £300,,All,,Group personal pension,,13 to 99 employees
,x,23.0,Year,2016,K02000001,,,£200 - £300,,All,,Group self-invested personal pension,,13 to 99 employees
3.2,,8.0,Year,2016,K02000001,,,£200 - £300,,All,,Group stakeholder pension,,13 to 99 employees
1.6,,11.0,Year,2016,K02000001,,,£200 - £300,,All,,Unknown pension provision,,13 to 99 employees
59.3,,1.2,Year,2016,K02000001,,,£200 - £300,,All,,No pension provision,,13 to 99 employees
7.4,,4.7,Year,2016,K02000001,,,£300 - £400,,All,,Defined benefit,,13 to 99 employees
17.4,,2.9,Year,2016,K02000001,,,£300 - £400,,All,,Defined contribution,,13 to 99 employees
17.2,,2.9,Year,2016,K02000001,,,£300 - £400,,All,,Group personal pension,,13 to 99 employees
0.6,,17.0,Year,2016,K02000001,,,£300 - £400,,All,,Group self-invested personal pension,,13 to 99 employees
4.6,,6.0,Year,2016,K02000001,,,£300 - £400,,All,,Group stakeholder pension,,13 to 99 employees
2.5,,8.2,Year,2016,K02000001,,,£300 - £400,,All,,Unknown pension provision,,13 to 99 employees
50.3,,1.3,Year,2016,K02000001,,,£300 - £400,,All,,No pension provision,,13 to 99 employees
7.3,,5.3,Year,2016,K02000001,,,£400 - £500,,All,,Defined benefit,,13 to 99 employees
16.8,,3.3,Year,2016,K02000001,,,£400 - £500,,All,,Defined contribution,,13 to 99 employees
20.5,,3.0,Year,2016,K02000001,,,£400 - £500,,All,,Group personal pension,,13 to 99 employees
1.0,,15.0,Year,2016,K02000001,,,£400 - £500,,All,,Group self-invested personal pension,,13 to 99 employees
6.5,,5.6,Year,2016,K02000001,,,£400 - £500,,All,,Group stakeholder pension,,13 to 99 employees
2.3,,9.8,Year,2016,K02000001,,,£400 - £500,,All,,Unknown pension provision,,13 to 99 employees
45.7,,1.6,Year,2016,K02000001,,,£400 - £500,,All,,No pension provision,,13 to 99 employees
7.1,,6.5,Year,2016,K02000001,,,£500 - £600,,All,,Defined benefit,,13 to 99 employees
17.0,,4.0,Year,2016,K02000001,,,£500 - £600,,All,,Defined contribution,,13 to 99 employees
24.8,,3.2,Year,2016,K02000001,,,£500 - £600,,All,,Group personal pension,,13 to 99 employees
0.8,,20.0,Year,2016,K02000001,,,£500 - £600,,All,,Group self-invested personal pension,,13 to 99 employees
6.9,,6.7,Year,2016,K02000001,,,£500 - £600,,All,,Group stakeholder pension,,13 to 99 employees
2.4,,12.0,Year,2016,K02000001,,,£500 - £600,,All,,Unknown pension provision,,13 to 99 employees
41.0,,2.2,Year,2016,K02000001,,,£500 - £600,,All,,No pension provision,,13 to 99 employees
9.6,,3.7,Year,2016,K02000001,,,£600 and over,,All,,Defined benefit,,13 to 99 employees
15.4,,2.8,Year,2016,K02000001,,,£600 and over,,All,,Defined contribution,,13 to 99 employees
29.5,,1.9,Year,2016,K02000001,,,£600 and over,,All,,Group personal pension,,13 to 99 employees
1.6,,9.6,Year,2016,K02000001,,,£600 and over,,All,,Group self-invested personal pension,,13 to 99 employees
8.1,,4.1,Year,2016,K02000001,,,£600 and over,,All,,Group stakeholder pension,,13 to 99 employees
2.3,,7.9,Year,2016,K02000001,,,£600 and over,,All,,Unknown pension provision,,13 to 99 employees
33.5,,1.7,Year,2016,K02000001,,,£600 and over,,All,,No pension provision,,13 to 99 employees
18.7,,1.4,Year,2016,K02000001,,,All,,All,,Defined benefit,,100 to 499 employees
20.3,,1.3,Year,2016,K02000001,,,All,,All,,Defined contribution,,100 to 499 employees
27.6,,1.1,Year,2016,K02000001,,,All,,All,,Group personal pension,,100 to 499 employees
1.2,,6.1,Year,2016,K02000001,,,All,,All,,Group self-invested personal pension,,100 to 499 employees
6.8,,2.4,Year,2016,K02000001,,,All,,All,,Group stakeholder pension,,100 to 499 employees
2.0,,4.5,Year,2016,K02000001,,,All,,All,,Unknown pension provision,,100 to 499 employees
23.4,,1.1,Year,2016,K02000001,,,All,,All,,No pension provision,,100 to 499 employees
9.8,,7.7,Year,2016,K02000001,,,Less than £100,,All,,Defined benefit,,100 to 499 employees
7.9,,8.3,Year,2016,K02000001,,,Less than £100,,All,,Defined contribution,,100 to 499 employees
4.9,,11.0,Year,2016,K02000001,,,Less than £100,,All,,Group personal pension,,100 to 499 employees
,x,71.0,Year,2016,K02000001,,,Less than £100,,All,,Group self-invested personal pension,,100 to 499 employees
1.8,,19.0,Year,2016,K02000001,,,Less than £100,,All,,Group stakeholder pension,,100 to 499 employees
,x,36.0,Year,2016,K02000001,,,Less than £100,,All,,Unknown pension provision,,100 to 499 employees
75.0,,1.4,Year,2016,K02000001,,,Less than £100,,All,,No pension provision,,100 to 499 employees
15.0,,5.1,Year,2016,K02000001,,,£100 - £200,,All,,Defined benefit,,100 to 499 employees
15.8,,4.8,Year,2016,K02000001,,,£100 - £200,,All,,Defined contribution,,100 to 499 employees
10.7,,6.2,Year,2016,K02000001,,,£100 - £200,,All,,Group personal pension,,100 to 499 employees
