V4_0,Time_codelist,Time,Geography_codelist,Geography,Housing_codelist,Housing
380100.0,Quarter,2015 Q2,J01000019,,,Semi Detached
377250.0,Quarter,2015 Q2,J01000019,,,Terraced
275000.0,Quarter,2015 Q2,J01000019,,,Flat/Maisonette
170000.0,Quarter,2015 Q2,J01000020,,,All properties
305000.0,Quarter,2015 Q2,J01000020,,,Detached
192500.0,Quarter,2015 Q2,J01000020,,,Semi Detached
165250.0,Quarter,2015 Q2,J01000020,,,Terraced
125000.0,Quarter,2015 Q2,J01000020,,,Flat/Maisonette
110000.0,Quarter,2015 Q2,J01000021,,,All properties
194950.0,Quarter,2015 Q2,J01000021,,,Detached
125000.0,Quarter,2015 Q2,J01000021,,,Semi Detached
92000.0,Quarter,2015 Q2,J01000021,,,Terraced
80000.0,Quarter,2015 Q2,J01000021,,,Flat/Maisonette
165000.0,Quarter,2015 Q2,J01000022,,,All properties
295000.0,Quarter,2015 Q2,J01000022,,,Detached
195000.0,Quarter,2015 Q2,J01000022,,,Semi Detached
154000.0,Quarter,2015 Q2,J01000022,,,Terraced
96000.0,Quarter,2015 Q2,J01000022,,,Flat/Maisonette
250000.0,Quarter,2015 Q2,J01000023,,,All properties
383500.0,Quarter,2015 Q2,J01000023,,,Detached
282000.0,Quarter,2015 Q2,J01000023,,,Semi Detached
246747.5,Quarter,2015 Q2,J01000023,,,Terraced
164997.5,Quarter,2015 Q2,J01000023,,,Flat/Maisonette
222500.0,Quarter,2015 Q2,J01000024,,,All properties
383247.5,Quarter,2015 Q2,J01000024,,,Detached
235000.0,Quarter,2015 Q2,J01000024,,,Semi Detached
199972.5,Quarter,2015 Q2,J01000024,,,Terraced
162750.0,Quarter,2015 Q2,J01000024,,,Flat/Maisonette
175000.0,Quarter,2015 Q2,J01000025,,,All properties
275000.0,Quarter,2015 Q2,J01000025,,,Detached
190000.0,Quarter,2015 Q2,J01000025,,,Semi Detached
156725.0,Quarter,2015 Q2,J01000025,,,Terraced
135000.0,Quarter,2015 Q2,J01000025,,,Flat/Maisonette
135000.0,Quarter,2015 Q2,J01000026,,,All properties
223225.0,Quarter,2015 Q2,J01000026,,,Detached
125000.0,Quarter,2015 Q2,J01000026,,,Semi Detached
93000.0,Quarter,2015 Q2,J01000026,,,Terraced
106750.0,Quarter,2015 Q2,J01000026,,,Flat/Maisonette
185000.0,Quarter,2015 Q2,J01000027,,,All properties
279995.0,Quarter,2015 Q2,J01000027,,,Detached
201500.0,Quarter,2015 Q2,J01000027,,,Semi Detached
175000.0,Quarter,2015 Q2,J01000027,,,Terraced
124995.0,Quarter,2015 Q2,J01000027,,,Flat/Maisonette
138000.0,Quarter,2015 Q2,J01000028,,,All properties
250000.0,Quarter,2015 Q2,J01000028,,,Detached
168250.0,Quarter,2015 Q2,J01000028,,,Semi Detached
126500.0,Quarter,2015 Q2,J01000028,,,Terraced
98000.0,Quarter,2015 Q2,J01000028,,,Flat/Maisonette
240000.0,Quarter,2015 Q2,J01000029,,,All properties
400000.0,Quarter,2015 Q2,J01000029,,,Detached
282997.5,Quarter,2015 Q2,J01000029,,,Semi Detached
235000.0,Quarter,2015 Q2,J01000029,,,Terraced
169950.0,Quarter,2015 Q2,J01000029,,,Flat/Maisonette
120000.0,Quarter,2015 Q2,J01000030,,,All properties
189950.0,Quarter,2015 Q2,J01000030,,,Detached
124950.0,Quarter,2015 Q2,J01000030,,,Semi Detached
76000.0,Quarter,2015 Q2,J01000030,,,Terraced
85000.0,Quarter,2015 Q2,J01000030,,,Flat/Maisonette
137000.0,Quarter,2015 Q2,J01000031,,,All properties
215000.0,Quarter,2015 Q2,J01000031,,,Detached
129250.0,Quarter,2015 Q2,J01000031,,,Semi Detached
107000.0,Quarter,2015 Q2,J01000031,,,Terraced
97500.0,Quarter,2015 Q2,J01000031,,,Flat/Maisonette
119950.0,Quarter,2015 Q2,J01000032,,,All properties
192000.0,Quarter,2015 Q2,J01000032,,,Detached
115000.0,Quarter,2015 Q2,J01000032,,,Semi Detached
80000.0,Quarter,2015 Q2,J01000032,,,Terraced
105000.0,Quarter,2015 Q2,J01000032,,,Flat/Maisonette
117250.0,Quarter,2015 Q2,J01000033,,,All properties
189725.0,Quarter,2015 Q2,J01000033,,,Detached
116000.0,Quarter,2015 Q2,J01000033,,,Semi Detached
105000.0,Quarter,2015 Q2,J01000033,,,Terraced
78000.0,Quarter,2015 Q2,J01000033,,,Flat/Maisonette
200000.0,Quarter,2015 Q2,J01000034,,,All properties
295000.0,Quarter,2015 Q2,J01000034,,,Detached
230000.0,Quarter,2015 Q2,J01000034,,,Semi Detached
189950.0,Quarter,2015 Q2,J01000034,,,Terraced
150000.0,Quarter,2015 Q2,J01000034,,,Flat/Maisonette
207000.0,Quarter,2015 Q2,J01000035,,,All properties
335000.0,Quarter,2015 Q2,J01000035,,,Detached
231000.0,Quarter,2015 Q2,J01000035,,,Semi Detached
198000.0,Quarter,2015 Q2,J01000035,,,Terraced
140000.0,Quarter,2015 Q2,J01000035,,,Flat/Maisonette
123500.0,Quarter,2015 Q2,J01000036,,,All properties
224500.0,Quarter,2015 Q2,J01000036,,,Detached
135000.0,Quarter,2015 Q2,J01000036,,,Semi Detached
130500.0,Quarter,2015 Q2,J01000036,,,Terraced
92500.0,Quarter,2015 Q2,J01000036,,,Flat/Maisonette
178000.0,Quarter,2015 Q2,J01000037,,,All properties
315000.0,Quarter,2015 Q2,J01000037,,,Detached
230000.0,Quarter,2015 Q2,J01000037,,,Semi Detached
165000.0,Quarter,2015 Q2,J01000037,,,Terraced
142500.0,Quarter,2015 Q2,J01000037,,,Flat/Maisonette
165000.0,Quarter,2015 Q2,J01000038,,,All properties
250000.0,Quarter,2015 Q2,J01000038,,,Detached
171800.0,Quarter,2015 Q2,J01000038,,,Semi Detached
140000.0,Quarter,2015 Q2,J01000038,,,Terraced
110000.0,Quarter,2015 Q2,J01000038,,,Flat/Maisonette
103000.0,Quarter,2015 Q2,J01000039,,,All properties
176975.0,Quarter,2015 Q2,J01000039,,,Detached
117000.0,Quarter,2015 Q2,J01000039,,,Semi Detached
70000.0,Quarter,2015 Q2,J01000039,,,Terraced
