V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender
76.09861,,2011-2013,E08000035,,,Female
75.49094,,2011-2013,E06000013,,,Female
75.77855,,2011-2013,E08000036,,,Female
71.77665,,2011-2013,E08000019,,,Female
72.51972,,2011-2013,E08000032,,,Female
72.41888,,2011-2013,E08000018,,,Female
70.86165,,2011-2013,E08000017,,,Female
70.55174,,2011-2013,E06000010,,,Female
68.87455,,2011-2013,E08000016,,,Female
74.89263,,2011-2013,E10000007,,,Female
73.20513,,2011-2013,E06000018,,,Female
71.17539,,2011-2013,E06000015,,,Female
71.44907,,2011-2013,E06000016,,,Female
75.95076,,2011-2013,E08000026,,,Female
73.68016,,2011-2013,E08000025,,,Female
72.0772,,2011-2013,E08000030,,,Female
73.11669,,2011-2013,E06000021,,,Female
71.75296,,2011-2013,E08000031,,,Female
71.94049,,2011-2013,E08000028,,,Female
69.98733,,2011-2013,E06000020,,,Female
72.72099,,2011-2013,E06000032,,,Female
71.43318,,2011-2013,E06000031,,,Female
73.93167,,2011-2013,E09000022,,,Female
72.73354,,2011-2013,E09000009,,,Female
72.25401,,2011-2013,E09000028,,,Female
70.41793,,2011-2013,E09000014,,,Female
70.59495,,2011-2013,E09000031,,,Female
70.4074,,2011-2013,E09000019,,,Female
69.92714,,2011-2013,E09000025,,,Female
69.06946,,2011-2013,E09000012,,,Female
69.10422,,2011-2013,E09000030,,,Female
67.38745,,2011-2013,E09000002,,,Female
73.91295,,2011-2013,E06000035,,,Female
71.50845,,2011-2013,E06000039,,,Female
75.84927,,2011-2013,E06000030,,,Female
75.60916,,2011-2013,E06000023,,,Female
74.99354,,2011-2013,E06000024,,,Female
72.106,,2011-2013,E06000026,,,Female
80.65408,,2011-2013,E06000049,,,Female
80.46066,,2011-2013,E06000014,,,Female
83.22717,,2011-2013,E06000017,,,Female
79.8396,,2011-2013,E06000019,,,Female
79.34063,,2011-2013,E10000015,,,Female
82.94601,,2011-2013,E09000027,,,Female
81.03631,,2011-2013,E09000003,,,Female
79.28334,,2011-2013,E09000015,,,Female
78.82985,,2011-2013,E09000020,,,Female
79.64001,,2011-2013,E09000006,,,Female
84.05849,,2011-2013,E06000040,,,Female
82.54879,,2011-2013,E06000041,,,Female
82.18468,,2011-2013,E10000030,,,Female
82.2899,,2011-2013,E06000037,,,Female
81.41251,,2011-2013,E10000002,,,Female
80.59069,,2011-2013,E10000032,,,Female
79.35611,,2011-2013,E10000016,,,Female
81.09514,,2011-2013,E06000022,,,Female
80.87801,,2011-2013,E10000027,,,Female
80.31779,,2011-2013,E10000008,,,Female
79.64304,,2011-2013,E10000013,,,Female
