V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender,Life Measure_codelist,Life Measure
78.12105,Year,2013,E08000016,,,Male,,Life Expectancy
56.29989,Year,2013,E08000016,,,Male,,Healthy Life Expectancy
81.16746,Year,2013,E06000017,,,Male,,Life Expectancy
66.08857,Year,2013,E06000017,,,Male,,Healthy Life Expectancy
79.34767,Year,2013,E10000021,,,Male,,Life Expectancy
64.45002,Year,2013,E10000021,,,Male,,Healthy Life Expectancy
79.22731,Year,2013,E10000019,,,Male,,Life Expectancy
64.163,Year,2013,E10000019,,,Male,,Healthy Life Expectancy
80.2243,Year,2013,E10000018,,,Male,,Life Expectancy
64.10741,Year,2013,E10000018,,,Male,,Healthy Life Expectancy
79.42797,Year,2013,E10000007,,,Male,,Life Expectancy
62.7858,Year,2013,E10000007,,,Male,,Healthy Life Expectancy
79.64073,Year,2013,E10000024,,,Male,,Life Expectancy
61.91495,Year,2013,E10000024,,,Male,,Healthy Life Expectancy
78.55688,Year,2013,E06000015,,,Male,,Life Expectancy
61.31439,Year,2013,E06000015,,,Male,,Healthy Life Expectancy
77.02173,Year,2013,E06000018,,,Male,,Life Expectancy
58.81706,Year,2013,E06000018,,,Male,,Healthy Life Expectancy
77.20579,Year,2013,E06000016,,,Male,,Life Expectancy
56.1103,Year,2013,E06000016,,,Male,,Healthy Life Expectancy
80.12982,Year,2013,E06000019,,,Male,,Life Expectancy
67.16548,Year,2013,E06000019,,,Male,,Healthy Life Expectancy
79.98405,Year,2013,E10000031,,,Male,,Life Expectancy
66.95962,Year,2013,E10000031,,,Male,,Healthy Life Expectancy
79.75941,Year,2013,E10000034,,,Male,,Life Expectancy
65.97734,Year,2013,E10000034,,,Male,,Healthy Life Expectancy
80.32199,Year,2013,E08000029,,,Male,,Life Expectancy
65.13767,Year,2013,E08000029,,,Male,,Healthy Life Expectancy
80.04596,Year,2013,E06000051,,,Male,,Life Expectancy
65.00922,Year,2013,E06000051,,,Male,,Healthy Life Expectancy
79.67343,Year,2013,E10000028,,,Male,,Life Expectancy
62.76012,Year,2013,E10000028,,,Male,,Healthy Life Expectancy
79.22883,Year,2013,E08000027,,,Male,,Life Expectancy
62.2859,Year,2013,E08000027,,,Male,,Healthy Life Expectancy
78.22579,Year,2013,E08000026,,,Male,,Life Expectancy
61.44993,Year,2013,E08000026,,,Male,,Healthy Life Expectancy
76.54537,Year,2013,E06000021,,,Male,,Life Expectancy
60.9212,Year,2013,E06000021,,,Male,,Healthy Life Expectancy
78.22019,Year,2013,E06000020,,,Male,,Life Expectancy
60.11224,Year,2013,E06000020,,,Male,,Healthy Life Expectancy
78.14307,Year,2013,E08000030,,,Male,,Life Expectancy
59.95571,Year,2013,E08000030,,,Male,,Healthy Life Expectancy
77.01879,Year,2013,E08000028,,,Male,,Life Expectancy
59.66203,Year,2013,E08000028,,,Male,,Healthy Life Expectancy
77.5506,Year,2013,E08000025,,,Male,,Life Expectancy
58.76405,Year,2013,E08000025,,,Male,,Healthy Life Expectancy
77.48542,Year,2013,E08000031,,,Male,,Life Expectancy
56.56518,Year,2013,E08000031,,,Male,,Healthy Life Expectancy
79.78842,Year,2013,E06000055,,,Male,,Life Expectancy
66.72046,Year,2013,E06000055,,,Male,,Healthy Life Expectancy
81.20007,Year,2013,E10000003,,,Male,,Life Expectancy
66.37598,Year,2013,E10000003,,,Male,,Healthy Life Expectancy
