V4_0,Time_codelist,Time,Geography_codelist,Geography,Gender_codelist,Gender
58.55645,,2011-2013,E08000028,,,Female
57.05519,,2011-2013,E06000020,,,Female
59.86035,,2011-2013,E06000032,,,Female
58.99567,,2011-2013,E06000031,,,Female
61.71983,,2011-2013,E09000022,,,Female
61.30938,,2011-2013,E09000009,,,Female
60.5509,,2011-2013,E09000028,,,Female
59.61155,,2011-2013,E09000014,,,Female
59.09453,,2011-2013,E09000031,,,Female
58.73464,,2011-2013,E09000019,,,Female
57.72604,,2011-2013,E09000025,,,Female
57.46425,,2011-2013,E09000012,,,Female
57.10797,,2011-2013,E09000030,,,Female
55.50099,,2011-2013,E09000002,,,Female
60.96455,,2011-2013,E06000035,,,Female
58.98901,,2011-2013,E06000039,,,Female
62.79448,,2011-2013,E06000030,,,Female
62.60517,,2011-2013,E06000023,,,Female
62.55538,,2011-2013,E06000024,,,Female
59.40053,,2011-2013,E06000026,,,Female
67.40019,,2011-2013,E06000049,,,Female
67.17472,,2011-2013,E06000014,,,Female
71.31935,,2011-2013,E06000017,,,Female
66.98745,,2011-2013,E06000019,,,Female
66.64931,,2011-2013,E10000015,,,Female
71.23376,,2011-2013,E09000027,,,Female
68.84461,,2011-2013,E09000003,,,Female
68.133,,2011-2013,E09000015,,,Female
67.91817,,2011-2013,E09000020,,,Female
67.63091,,2011-2013,E09000006,,,Female
71.19673,,2011-2013,E06000040,,,Female
69.92308,,2011-2013,E06000041,,,Female
69.49273,,2011-2013,E10000030,,,Female
69.26498,,2011-2013,E06000037,,,Female
69.13328,,2011-2013,E10000002,,,Female
67.78723,,2011-2013,E10000032,,,Female
66.35158,,2011-2013,E10000016,,,Female
68.52121,,2011-2013,E06000022,,,Female
68.09345,,2011-2013,E10000027,,,Female
67.65161,,2011-2013,E10000008,,,Female
66.77237,,2011-2013,E10000013,,,Female
