V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Agriculture, forestry and fishing ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
95.1,,2.6,Year,2016,K02000001,,,Less than £100,,All,,"Agriculture, forestry and fishing ",,No pension provision
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Defined benefit
,x,29.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Defined contribution
,x,51.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,70.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
87.1,,3.4,Year,2016,K02000001,,,£100 - £200,,All,,"Agriculture, forestry and fishing ",,No pension provision
,x,99.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Defined benefit
,x,22.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Defined contribution
,x,28.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Group personal pension
,x,99.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,40.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
77.6,,4.2,Year,2016,K02000001,,,£200 - £300,,All,,"Agriculture, forestry and fishing ",,No pension provision
,x,39.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Defined benefit
19.9,,13.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Defined contribution
13.0,,16.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,34.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
,x,71.0,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
59.9,,5.3,Year,2016,K02000001,,,£300 - £400,,All,,"Agriculture, forestry and fishing ",,No pension provision
,x,52.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Defined benefit
17.7,,17.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Defined contribution
16.6,,18.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,34.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
,x,74.0,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,Unknown pension provision
57.0,,6.9,Year,2016,K02000001,,,£400 - £500,,All,,"Agriculture, forestry and fishing ",,No pension provision
,x,71.0,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Defined benefit
21.1,,20.0,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Defined contribution
,x,27.0,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Group personal pension
0.0,,0.0,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Group self-invested personal pension
,x,40.0,Year,2016,K02000001,,,£500 - £600,,All,,"Agriculture, forestry and fishing ",,Group stakeholder pension
