V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Industry_codelist,Industry,Provision_codelist,Provision
7880.0,,0.3,Year,2016,K02000001,,,Total,,All,,All employees,,Defined benefit
5118.0,,0.5,Year,2016,K02000001,,,Total,,All,,All employees,,Defined contribution
3813.0,,0.6,Year,2016,K02000001,,,Total,,All,,All employees,,Group personal pension
169.0,,3.2,Year,2016,K02000001,,,Total,,All,,All employees,,Group self-invested personal pension
1206.0,,1.1,Year,2016,K02000001,,,Total,,All,,All employees,,Group stakeholder pension
344.0,,2.2,Year,2016,K02000001,,,Total,,All,,All employees,,Unknown pension provision
8865.0,,0.3,Year,2016,K02000001,,,Total,,All,,All employees,,No pension provision
212.0,,2.4,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Defined benefit
127.0,,3.2,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Defined contribution
36.0,,6.2,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group personal pension
,x,27.0,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group self-invested personal pension
15.0,,9.6,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Group stakeholder pension
5.0,,17.0,Year,2016,K02000001,,,Less than £100,,All,,All employees,,Unknown pension provision
1407.0,,0.9,Year,2016,K02000001,,,Less than £100,,All,,All employees,,No pension provision
504.0,,1.6,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Defined benefit
433.0,,1.7,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Defined contribution
144.0,,3.1,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group personal pension
8.0,,14.0,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group self-invested personal pension
78.0,,3.9,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Group stakeholder pension
19.0,,8.5,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,Unknown pension provision
1954.0,,0.8,Year,2016,K02000001,,,£100 - £200,,All,,All employees,,No pension provision
780.0,,1.3,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Defined benefit
783.0,,1.3,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Defined contribution
324.0,,2.1,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Group personal pension
11.0,,12.0,Year,2016,K02000001,,,£200 - £300,,All,,All employees,,Group self-invested personal pension
