V4_0,Time_codelist,Time,Geography_codelist,Geography,Split_codelist,Split,Industry_codelist,Industry
5,Quarter,2012 Q1,K03000001,,T,,3,
2,Quarter,2012 Q2,K03000001,,T,,3,
1,Quarter,2012 Q3,K03000001,,T,,3,
2,Quarter,2012 Q4,K03000001,,T,,3,
4,Quarter,2013 Q1,K03000001,,T,,3,
3,Quarter,2013 Q2,K03000001,,T,,3,
5,Quarter,2013 Q3,K03000001,,T,,3,
5,Quarter,2013 Q4,K03000001,,T,,3,
4,Quarter,2014 Q1,K03000001,,T,,3,
5,Quarter,2014 Q2,K03000001,,T,,3,
5,Quarter,2014 Q3,K03000001,,T,,3,
5,Quarter,2014 Q4,K03000001,,T,,3,
2,Quarter,2015 Q1,K03000001,,T,,3,
4,Quarter,2015 Q2,K03000001,,T,,3,
5,Quarter,2015 Q3,K03000001,,T,,3,
7,Quarter,2015 Q4,K03000001,,T,,3,
5,Quarter,2016 Q1,K03000001,,T,,3,
6,Quarter,2016 Q2,K03000001,,T,,3,
7,Quarter,2016 Q3,K03000001,,T,,3,
6,Quarter,2016 Q4,K03000001,,T,,3,
7,Quarter,2017 Q1,K03000001,,T,,3,
6,Quarter,2017 Q2,K03000001,,T,,3,
1,Quarter,1996 Q1,K03000001,,T,,05-Jun,
1,Quarter,1996 Q2,K03000001,,T,,05-Jun,
1,Quarter,1996 Q3,K03000001,,T,,05-Jun,
0,Quarter,1996 Q4,K03000001,,T,,05-Jun,
1,Quarter,1997 Q1,K03000001,,T,,05-Jun,
0,Quarter,1997 Q2,K03000001,,T,,05-Jun,
1,Quarter,1997 Q3,K03000001,,T,,05-Jun,
1,Quarter,1997 Q4,K03000001,,T,,05-Jun,
0,Quarter,1998 Q1,K03000001,,T,,05-Jun,
0,Quarter,1998 Q2,K03000001,,T,,05-Jun,
0,Quarter,1998 Q3,K03000001,,T,,05-Jun,
0,Quarter,1998 Q4,K03000001,,T,,05-Jun,
0,Quarter,1999 Q1,K03000001,,T,,05-Jun,
0,Quarter,1999 Q2,K03000001,,T,,05-Jun,
0,Quarter,1999 Q3,K03000001,,T,,05-Jun,
