V4_0,Time_codelist,Time,Geography_codelist,Geography,Component_codelist,Component
23318,Quarter,1985 Q4,K03000001,,EJ,
23270,Quarter,1986 Q1,K03000001,,EJ,
23273,Quarter,1986 Q2,K03000001,,EJ,
23304,Quarter,1986 Q3,K03000001,,EJ,
23302,Quarter,1986 Q4,K03000001,,EJ,
23314,Quarter,1987 Q1,K03000001,,EJ,
23514,Quarter,1987 Q2,K03000001,,EJ,
23711,Quarter,1987 Q3,K03000001,,EJ,
23925,Quarter,1987 Q4,K03000001,,EJ,
24096,Quarter,1988 Q1,K03000001,,EJ,
24265,Quarter,1988 Q2,K03000001,,EJ,
24467,Quarter,1988 Q3,K03000001,,EJ,
24546,Quarter,1988 Q4,K03000001,,EJ,
24720,Quarter,1989 Q1,K03000001,,EJ,
24750,Quarter,1989 Q2,K03000001,,EJ,
24860,Quarter,1989 Q3,K03000001,,EJ,
24966,Quarter,1989 Q4,K03000001,,EJ,
24996,Quarter,1990 Q1,K03000001,,EJ,
25058,Quarter,1990 Q2,K03000001,,EJ,
25014,Quarter,1990 Q3,K03000001,,EJ,
24844,Quarter,1990 Q4,K03000001,,EJ,
24579,Quarter,1991 Q1,K03000001,,EJ,
24361,Quarter,1991 Q2,K03000001,,EJ,
24236,Quarter,1991 Q3,K03000001,,EJ,
24098,Quarter,1991 Q4,K03000001,,EJ,
24093,Quarter,1992 Q1,K03000001,,EJ,
23965,Quarter,1992 Q2,K03000001,,EJ,
23611,Quarter,1992 Q3,K03000001,,EJ,
23530,Quarter,1992 Q4,K03000001,,EJ,
23548,Quarter,1993 Q1,K03000001,,EJ,
23581,Quarter,1993 Q2,K03000001,,EJ,
23657,Quarter,1993 Q3,K03000001,,EJ,
23669,Quarter,1993 Q4,K03000001,,EJ,
23629,Quarter,1994 Q1,K03000001,,EJ,
23676,Quarter,1994 Q2,K03000001,,EJ,
23871,Quarter,1994 Q3,K03000001,,EJ,
23926,Quarter,1994 Q4,K03000001,,EJ,
23934,Quarter,1995 Q1,K03000001,,EJ,
24065,Quarter,1995 Q2,K03000001,,EJ,
24084,Quarter,1995 Q3,K03000001,,EJ,
24260,Quarter,1995 Q4,K03000001,,EJ,
24209,Quarter,1996 Q1,K03000001,,EJ,
24373,Quarter,1996 Q2,K03000001,,EJ,
24496,Quarter,1996 Q3,K03000001,,EJ,
24611,Quarter,1996 Q4,K03000001,,EJ,
24695,Quarter,1997 Q1,K03000001,,EJ,
24977,Quarter,1997 Q2,K03000001,,EJ,
25116,Quarter,1997 Q3,K03000001,,EJ,
25265,Quarter,1997 Q4,K03000001,,EJ,
25337,Quarter,1998 Q1,K03000001,,EJ,
25326,Quarter,1998 Q2,K03000001,,EJ,
25434,Quarter,1998 Q3,K03000001,,EJ,
25573,Quarter,1998 Q4,K03000001,,EJ,
25646,Quarter,1999 Q1,K03000001,,EJ,
25707,Quarter,1999 Q2,K03000001,,EJ,
25968,Quarter,1999 Q3,K03000001,,EJ,
26116,Quarter,1999 Q4,K03000001,,EJ,
26101,Quarter,2000 Q1,K03000001,,EJ,
26269,Quarter,2000 Q2,K03000001,,EJ,
26433,Quarter,2000 Q3,K03000001,,EJ,
26495,Quarter,2000 Q4,K03000001,,EJ,
26525,Quarter,2001 Q1,K03000001,,EJ,
26631,Quarter,2001 Q2,K03000001,,EJ,
26810,Quarter,2001 Q3,K03000001,,EJ,
26821,Quarter,2001 Q4,K03000001,,EJ,
26827,Quarter,2002 Q1,K03000001,,EJ,
26853,Quarter,2002 Q2,K03000001,,EJ,
26911,Quarter,2002 Q3,K03000001,,EJ,
26914,Quarter,2002 Q4,K03000001,,EJ,
26876,Quarter,2003 Q1,K03000001,,EJ,
26969,Quarter,2003 Q2,K03000001,,EJ,
27028,Quarter,2003 Q3,K03000001,,EJ,
27087,Quarter,2003 Q4,K03000001,,EJ,
