V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Total_codelist,Total,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,Household Type
7.575198389,0.569071956,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Burglary in building other than dwelling,,All households
1.410668917,0.222366703,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Attempted burglary in building other than dwelling,,All households
6.164529472000001,0.514595067,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Burglary in building other than dwelling with entry,,All households
15.16982138,0.988397161,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Arson and other criminal damage,,All households
32.61854335,1.352781993,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Criminal damage to a vehicle,,All households
41.89316569,1.72809063,28216,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Criminal damage to a vehicle,,Vehicle-owning households
23.93215598,1.09496599,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Other household theft,,All households
23.44433304,0.957888555,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft from a motor vehicle,,All households
30.28902821,1.235771673,28216,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft from a motor vehicle,,Vehicle-owning households
2.388708625,0.289901984,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft of a motor vehicle,,All households
3.0910375180000003,0.37512224299999997,28216,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft of a motor vehicle,,Vehicle-owning households
2.826049484,0.39203746899999997,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft from a dwelling and meter,,All households
94.48146018,2.23168342,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,All household theft,,All households
21.1061065,1.013638211,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Theft from outside dwelling,,All households
142.2698249,2.986518963,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,All household crime,,All households
47.78836473,1.7125103309999998,35334,Quarter,2017 Q1,K04000001,,,Total,,Incidence rate,,Criminal damage,,All households
0.48619939100000004,0.042268253,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Domestic burglary with entry and no loss,,All households
0.9170277290000001,0.051810757,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Domestic burglary with entry and loss,,All households
0.754728759,0.048299845,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Attempted domestic burglary,,All households
1.382557909,0.065722717,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Domestic burglary with entry,,All households
2.104994097,0.080087975,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Domestic burglary,,All households
5.121519508,0.127380689,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All vehicle crime,,All households
6.6116665260000005,0.163100167,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All vehicle crime,,Vehicle-owning households
2.7831663239999997,0.09368851199999999,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All vehicle-related thefts,,All households
3.596632267,0.120663146,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,All vehicle-related thefts,,Vehicle-owning households
0.534803366,0.04239267099999999,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Attempted theft of and from vehicles,,All households
0.692046426,0.054833445,28216,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
1.080480781,0.05974740200000001,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Bicycle theft,,All households
2.119628074,0.121746769,16824,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Bicycle theft,,Bicycle-owning households
0.148943649,0.023622117,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in building other than dwelling with entry and no loss,,All households
0.37275169399999997,0.032521724,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in building other than dwelling with entry and loss,,All households
0.33921681200000003,0.035558803,35334,Quarter,2017 Q1,K04000001,,,Total,,Prevalence rate,,Burglary in dwelling with no loss,,All households
