V4_1,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,HRP Age_codelist,HRP Age,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Age_codelist,Age,Sex_codelist,Sex
3.080032216,0.237307205,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,All vehicle crime,, ,, 
1.315326668,0.17456196699999998,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,All vehicle crime,, ,, 
10.91123957,1.395527172,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,All vehicle crime,, ,, 
7.897314123999999,0.46072346399999997,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,All vehicle crime,, ,, 
8.205138818,0.41247224299999996,5028,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,All vehicle crime,, ,, 
8.231331665,0.367601685,6303,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,All vehicle crime,, ,, 
6.337759103,0.37204176299999997,5193,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,All vehicle crime,, ,, 
3.88864814,0.298929493,4641,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,All vehicle crime,, ,, 
2.160477002,0.285445286,2906,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,All vehicle crime,, ,, 
2.867124675,0.498187094,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,All vehicle-related thefts,, ,, 
3.040114088,0.251161091,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,All vehicle-related thefts,, ,, 
3.748770997,0.255140003,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,All vehicle-related thefts,, ,, 
3.81865864,0.234578795,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,All vehicle-related thefts,, ,, 
3.014760618,0.235259131,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,All vehicle-related thefts,, ,, 
1.534051089,0.17029302699999999,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,All vehicle-related thefts,, ,, 
0.7787154159999999,0.13890424,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,All vehicle-related thefts,, ,, 
5.970192624,1.021959899,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,All vehicle-related thefts,, ,, 
4.059281335,0.334134194,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,All vehicle-related thefts,, ,, 
4.602032255,0.311412653,5028,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,All vehicle-related thefts,, ,, 
4.458170569,0.272909138,6303,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,All vehicle-related thefts,, ,, 
3.605602238,0.280077599,5193,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,All vehicle-related thefts,, ,, 
1.936793025,0.21460932300000002,4641,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,All vehicle-related thefts,, ,, 
1.279071419,0.22780912,2906,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,All vehicle-related thefts,, ,, 
0.678097307,0.254158816,1032,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.603820922,0.11588686599999999,4747,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.6782364479999999,0.109498653,6024,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.74282473,0.105773146,7231,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.515305794,0.09683663699999999,6099,Quarter,2017 Q1,K04000001,,,55-64,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.41187828600000004,0.09949905199999999,5715,Quarter,2017 Q1,K04000001,,,65-74,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.081656093,0.042406002000000005,4486,Quarter,2017 Q1,K04000001,,,75+,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
1.411997035,0.527835119,520,Quarter,2017 Q1,K04000001,,,16-24,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.813072673,0.155848813,3625,Quarter,2017 Q1,K04000001,,,25-34,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.832610478,0.13419846300000002,5028,Quarter,2017 Q1,K04000001,,,35-44,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
0.8672258140000001,0.123474351,6303,Quarter,2017 Q1,K04000001,,,45-54,,Prevalence rate,,Attempted theft of and from vehicles,, ,, 
