V4_2,Standard Error,Unweighted Count,Time_codelist,Time,Geography_codelist,Geography,Accommodation type_codelist,Accommodation type,Measurement Type_codelist,Measurement Type,Crime Type_codelist,Crime Type,Household Type_codelist,HouseholdType
115.70111659999999,5.154067134,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,All vehicle crime,,Vehicle-owning households
25.13280434,1.973886434,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,All vehicle-related theft,,All households
23.25248244,2.434588368,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,All vehicle-related theft,,All households
34.11859158,1.3270454409999999,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,All vehicle-related theft,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,All vehicle-related theft,,All households
34.94836846,2.117319998,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,All vehicle-related theft,,All households
40.15006887,2.477613613,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,All vehicle-related theft,,All households
26.71748984,2.0957360080000003,8364,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
45.99368383,4.7963199439999995,2734,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
41.0533791,1.595408348,25345,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
0.0,0.0,67,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
41.57066012,2.503110013,9271,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
54.44389354,3.3556397280000003,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,All vehicle-related theft,,Vehicle-owning households
5.5151320020000005,0.966403795,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Attempted theft of and from vehicles,,All households
3.9515111760000003,0.945211604,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Attempted theft of and from vehicles,,All households
6.947939083,0.638445925,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Attempted theft of and from vehicles,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Attempted theft of and from vehicles,,All households
5.57348857,0.790298002,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Attempted theft of and from vehicles,,All households
9.439969683,1.3991327530000002,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Attempted theft of and from vehicles,,All households
5.86287472,1.027339614,8364,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
7.888419084,1.88498496,2734,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
8.360145127000001,0.76787186,25345,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
0.0,0.0,67,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
6.629597008999999,0.939244755,9271,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
12.80069297,1.8975015169999998,7710,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Attempted theft of and from vehicles,,Vehicle-owning households
6.1811479060000005,1.049241187,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Bicycle theft,,All households
17.95839935,2.183754125,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Bicycle theft,,All households
10.51296347,0.6924629959999999,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Bicycle theft,,All households
13.49539165,13.41150057,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Bicycle theft,,All households
10.46120808,1.133872773,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Bicycle theft,,All households
13.87940854,1.277336803,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Bicycle theft,,All households
9.591002191,1.5566499980000001,5096,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Bicycle theft,,Bicycle-owning households
55.54088319,7.095136225,1463,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Bicycle theft,,Bicycle-owning households
19.24642888,1.3019219579999999,15293,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Bicycle theft,,Bicycle-owning households
46.46437922,45.40451225,23,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Bicycle theft,,Bicycle-owning households
19.73156888,2.225074286,5470,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Bicycle theft,,Bicycle-owning households
27.969033399999997,2.669068812,4727,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Bicycle theft,,Bicycle-owning households
1.0476026109999999,0.416003275,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
1.260119165,0.7357978829999999,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
1.727607195,0.289887917,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
1.985856821,0.46630454200000004,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
1.985533917,0.574014315,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in building other than dwelling with entry and no loss,,All households
6.180305063,1.064031076,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
1.7501293759999998,0.611851759,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
5.149468748,0.5228521620000001,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
3.959201184,0.6569110770000001,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
5.569728202,0.9982301170000001,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in building other than dwelling with entry and loss,,All households
1.588746536,0.52287611,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Burglary in dwelling with no loss,,All households
6.306470807,1.688599309,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Burglary in dwelling with no loss,,All households
4.164043536,0.580729701,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Burglary in dwelling with no loss,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Burglary in dwelling with no loss,,All households
4.189839462,0.921675447,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Burglary in dwelling with no loss,,All households
6.107972076,1.249617575,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Burglary in dwelling with no loss,,All households
4.764076922,0.834531447,8816,Quarter,2017 Q1,K04000001,,,Detached house,,Incidence rate,,Attempted burglary in dwelling,,All households
10.786941699999998,1.7464817190000002,5285,Quarter,2017 Q1,K04000001,,,Flats/maisonettes,,Incidence rate,,Attempted burglary in dwelling,,All households
7.049077232,0.618853422,29876,Quarter,2017 Q1,K04000001,,,House,,Incidence rate,,Attempted burglary in dwelling,,All households
0.0,0.0,81,Quarter,2017 Q1,K04000001,,,Other accommodation,,Incidence rate,,Attempted burglary in dwelling,,All households
6.758021576,1.1336066009999999,10877,Quarter,2017 Q1,K04000001,,,Semi-detached house,,Incidence rate,,Attempted burglary in dwelling,,All households
9.092726707999999,1.1037346540000001,10183,Quarter,2017 Q1,K04000001,,,Terraced house,,Incidence rate,,Attempted burglary in dwelling,,All households
