V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,Growth Period_codelist,Growth Period,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
5.1,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
3.3,Quarter,2008 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
10.8,Quarter,2008 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
5.3,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
6.1,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
5.3,Quarter,2008 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
10.4,Quarter,2008 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
6.1,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_P Education
3.0,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
3.7,Quarter,2008 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
1.0,Quarter,2008 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
3.1,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
9.6,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
7.9,Quarter,2008 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
13.0,Quarter,2008 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
7.8,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
1.7,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
2.5,Quarter,2008 Q1,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
-4.3,Quarter,2008 Q1,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
3.6,Quarter,2008 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
10.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
9.2,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
26.7,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
10.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
7.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
4.0,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
23.7,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
7.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
9.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
7.3,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
22.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
5.2,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
2.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
3.1,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
0.7,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-1.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-2.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-2.4,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-4.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-3.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
1.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
1.2,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
-0.3,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
1.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
3.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
4.1,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
2.4,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
3.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
2.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
4.0,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
-3.7,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
2.3,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
5.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
6.0,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
5.2,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
7.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
4.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
4.8,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
3.8,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
5.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_F Construction
6.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
5.2,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
14.4,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
6.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
1.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
1.1,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
0.0,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
1.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
2.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
2.9,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
2.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
3.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
5.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
5.5,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
7.3,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
5.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
5.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
6.0,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
3.1,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
5.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
5.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
5.5,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
1.8,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
2.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
2.2,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
1.1,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
9.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
8.7,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
4.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
5.9,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
5.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
5.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
3.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
3.9,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
4.3,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
3.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_N Administrative and Support Service Activities
2.6,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
3.4,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
3.9,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
2.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_O Public Administration
8.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
7.6,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
12.9,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_P Education
8.4,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_P Education
2.5,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
1.1,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
6.5,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
2.2,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_Q Health and Social Work
4.0,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
3.9,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
5.3,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
4.6,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
-1.8,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
-2.6,Quarter,2008 Q2,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
3.4,Quarter,2008 Q2,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
-1.9,Quarter,2008 Q2,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_S Other Service Activities
11.2,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
10.9,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
16.9,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
10.9,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
-2.1,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
-1.1,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
-6.3,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
-1.3,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_B Mining and Quarrying
1.6,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
1.4,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
3.6,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
0.4,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
-11.7,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-14.0,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
1.3,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-7.3,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
-5.2,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-5.2,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-4.9,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
-3.9,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
8.3,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
8.8,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
5.1,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
8.5,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
2.8,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
3.5,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
-0.8,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
2.7,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
2.9,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
4.0,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
-3.7,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
2.7,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_C6 Other Manufacturing
8.0,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
7.6,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
9.6,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
6.6,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
-0.8,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
-0.6,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
-2.2,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_F Construction
-0.1,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_F Construction
1.5,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
1.8,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
-0.4,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
1.6,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G46 Wholesale Trade
-0.1,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
-0.2,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
0.3,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
1.1,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
0.2,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
-0.4,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
1.9,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
0.0,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_H Transport and Storage
3.8,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
2.8,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
15.8,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
3.9,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
6.6,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
6.5,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
7.1,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
6.4,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_J Information and Communication
1.5,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
2.2,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
-3.5,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
2.3,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_K Financial & Insurance Activities
7.0,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
7.1,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
6.9,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
12.4,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Annual,,Seasonally adjusted,,ILCH_L Real Estate Activities
6.2,Quarter,2008 Q3,K02000001,,,Labour Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
6.1,Quarter,2008 Q3,K02000001,,,Wage Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
6.5,Quarter,2008 Q3,K02000001,,,Other Costs per Hour,,Annual,,Seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
