V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
131.4,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
138.1,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
129.4,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_L Real Estate Activities
137.4,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
134.0,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
162.3,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
135.0,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
136.8,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.8,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
155.4,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.7,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.2,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
133.5,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
140.3,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
133.3,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_O Public Administration
132.3,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
128.8,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
154.1,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
132.9,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_P Education
140.1,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
138.3,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
153.7,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
139.7,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_Q Health and Social Work
107.5,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
105.0,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
127.4,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
108.7,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
149.9,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
143.5,Quarter,2006 Q3,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
198.9,Quarter,2006 Q3,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
151.4,Quarter,2006 Q3,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_S Other Service Activities
142.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
141.4,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
136.4,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
140.8,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
157.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
145.0,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
238.1,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
151.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
133.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
130.9,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
155.5,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
132.2,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
144.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
143.0,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
150.5,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
142.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
127.8,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
120.9,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
168.3,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
122.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
135.1,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
129.8,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
173.2,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
133.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
126.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
124.0,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
165.5,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
125.4,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
130.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
126.3,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
162.8,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
130.4,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
118.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
109.7,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
178.8,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
117.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
136.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
135.9,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
148.8,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
136.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_F Construction
122.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
119.7,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
144.4,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
125.1,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
127.4,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
125.5,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
143.9,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
127.3,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
141.6,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
135.4,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
186.6,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
139.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_H Transport and Storage
138.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
137.1,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
159.3,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
138.4,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
133.9,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
128.4,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
171.3,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
132.9,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_J Information and Communication
155.3,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
151.4,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
180.0,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
131.3,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
128.1,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
128.1,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
128.9,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
126.8,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_L Real Estate Activities
136.2,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
132.8,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
161.2,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
134.2,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
136.5,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.5,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
155.1,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
134.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
133.8,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
142.5,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
133.7,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_O Public Administration
133.9,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
130.2,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
157.2,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
134.8,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_P Education
141.2,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
138.6,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
163.8,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_Q Health and Social Work
141.2,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_Q Health and Social Work
105.4,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
103.6,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
119.8,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
107.0,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_R Arts, Entertainment and Recreation"
150.8,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
144.9,Quarter,2006 Q4,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
195.2,Quarter,2006 Q4,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_S Other Service Activities
152.3,Quarter,2006 Q4,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_S Other Service Activities
138.9,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
140.9,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
129.1,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
138.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_A Agriculture, Forestry and Fishing"
157.6,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
148.0,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
210.7,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
150.5,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_B Mining and Quarrying
132.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
130.5,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
145.5,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
129.9,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_C1 Manufacturing - Food Products, Beverages and Tobacco "
142.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
140.9,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
168.7,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
140.9,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_C2 Manufacturing - Textiles, Leather and Clothing"
132.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
125.4,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
177.2,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
135.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C3 Manufacturing - Chemicals and Man-made Fibres
137.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
131.4,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
184.0,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
134.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C4 Manufacturing - Basic Metals and Metal Products
131.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
127.3,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
157.4,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
132.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C5 Manufacturing - Engineering and Allied Industries
130.9,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
126.6,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
163.6,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
129.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_C6 Other Manufacturing
122.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
114.0,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
179.3,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
120.5,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
136.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
135.8,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
142.6,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
135.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_F Construction
125.3,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
122.2,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
140.9,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
125.5,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
131.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
130.3,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
139.6,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
129.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
144.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
136.4,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
199.0,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
141.5,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_H Transport and Storage
143.2,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
138.4,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
196.3,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
141.7,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
133.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
128.7,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
160.2,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
133.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_J Information and Communication
158.4,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
155.7,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
177.9,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
133.9,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
128.8,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
129.0,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
128.3,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
126.5,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_L Real Estate Activities
134.0,Quarter,2007 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
131.8,Quarter,2007 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
152.5,Quarter,2007 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
