V4_0,Time_codelist,Time,Geography_codelist,Geography,Costs_codelist,Costs,SA / NSA_codelist,SA / NSA,SIC_codelist,SIC
98.6,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_D&E Electricity, Gas and Water Supply"
97.5,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
97.6,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
95.5,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_F Construction
98.0,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_F Construction
96.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
97.9,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
96.9,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
97.7,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G46 Wholesale Trade
96.8,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
97.3,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
94.5,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
98.1,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_G45&G47 Retail Trade and Repairs
99.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
99.7,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
97.6,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_H Transport and Storage
99.8,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_H Transport and Storage
95.6,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
95.5,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
96.5,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
95.5,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_I Accommodation and Food Service Activities
98.8,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
98.2,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
101.1,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_J Information and Communication
99.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_J Information and Communication
90.2,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
90.2,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
88.9,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
99.2,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_K Financial & Insurance Activities
93.7,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
92.5,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
97.9,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_L Real Estate Activities
97.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_L Real Estate Activities
96.2,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
96.2,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
95.7,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
97.2,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,"ILCH_M Professional, Scientific & Technical Activities"
96.1,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
96.9,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
98.2,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
97.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_N Administrative and Support Service Activities
100.3,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
100.6,Quarter,2000 Q1,K02000001,,,Wage Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
99.4,Quarter,2000 Q1,K02000001,,,Other Costs per Hour,,Not seasonally adjusted,,ILCH_O Public Administration
99.7,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour Excluding Bonuses and Arrears,,Not seasonally adjusted,,ILCH_O Public Administration
99.8,Quarter,2000 Q1,K02000001,,,Labour Costs per Hour,,Not seasonally adjusted,,ILCH_P Education
