V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Earnings_codelist,Earnings,Gender_codelist,Gender,Occupation_codelist,Occupation,Provision_codelist,Provision
,x,41.0,Year,2016,K02000001,,,Less than £100,,All,,"Managers, directors and senior officials",,Group personal pension
,-,0.0,Year,2016,K02000001,,,Less than £100,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,,Year,2016,K02000001,,,Less than £100,,All,,"Managers, directors and senior officials",,Group stakeholder pension
,x,,Year,2016,K02000001,,,Less than £100,,All,,"Managers, directors and senior officials",,Unknown pension provision
17.0,,11.0,Year,2016,K02000001,,,Less than £100,,All,,"Managers, directors and senior officials",,No pension provision
,x,21.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Defined benefit
9.0,,15.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Defined contribution
6.0,,18.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Group personal pension
,x,32.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Group stakeholder pension
,x,71.0,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,Unknown pension provision
97.0,,4.5,Year,2016,K02000001,,,£100 - £200,,All,,"Managers, directors and senior officials",,No pension provision
8.0,,15.0,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Defined benefit
21.0,,9.5,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Defined contribution
12.0,,13.0,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Group personal pension
,x,33.0,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
6.0,,18.0,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Group stakeholder pension
,x,45.0,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,Unknown pension provision
85.0,,4.8,Year,2016,K02000001,,,£200 - £300,,All,,"Managers, directors and senior officials",,No pension provision
18.0,,10.0,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Defined benefit
52.0,,6.0,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Defined contribution
37.0,,7.4,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Group personal pension
,x,45.0,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
11.0,,13.0,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Group stakeholder pension
,x,21.0,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,Unknown pension provision
95.0,,4.5,Year,2016,K02000001,,,£300 - £400,,All,,"Managers, directors and senior officials",,No pension provision
33.0,,7.5,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Defined benefit
61.0,,5.5,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Defined contribution
45.0,,6.6,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Group personal pension
,x,32.0,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
16.0,,11.0,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Group stakeholder pension
5.0,,20.0,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,Unknown pension provision
101.0,,4.4,Year,2016,K02000001,,,£400 - £500,,All,,"Managers, directors and senior officials",,No pension provision
40.0,,6.8,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Defined benefit
67.0,,5.2,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Defined contribution
52.0,,6.1,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Group personal pension
,x,38.0,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
19.0,,9.9,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Group stakeholder pension
,x,25.0,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,Unknown pension provision
83.0,,4.8,Year,2016,K02000001,,,£500 - £600,,All,,"Managers, directors and senior officials",,No pension provision
392.0,,2.0,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Defined benefit
386.0,,2.1,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Defined contribution
402.0,,2.0,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Group personal pension
31.0,,8.1,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Group self-invested personal pension
114.0,,4.1,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Group stakeholder pension
26.0,,8.8,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,Unknown pension provision
281.0,,2.5,Year,2016,K02000001,,,£600 and over,,All,,"Managers, directors and senior officials",,No pension provision
3114.0,,0.5,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Defined benefit
665.0,,1.6,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Defined contribution
754.0,,1.5,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Group personal pension
32.0,,7.9,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Group self-invested personal pension
181.0,,3.2,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Group stakeholder pension
63.0,,5.5,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,Unknown pension provision
945.0,,1.3,Year,2016,K02000001,,,Professional occupations,,All,,Professional occupations,,No pension provision
35.0,,7.1,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Defined benefit
5.0,,20.0,Year,2016,K02000001,,,Less than £100,,All,,Professional occupations,,Defined contribution
