V4_0,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Health or Disability Impact_codelist,Health or Disability Impact
88.82239905080024,Deccenial,2011,J01000027,,,16-64,,not limited
6.070081809267815,Deccenial,2011,J01000028,,,16-64,,limited a lot
7.34771134060852,Deccenial,2011,J01000028,,,16-64,,limited a little
86.58220685012367,Deccenial,2011,J01000028,,,16-64,,not limited
4.516319889557243,Deccenial,2011,J01000029,,,16-64,,limited a lot
6.430754926958457,Deccenial,2011,J01000029,,,16-64,,limited a little
89.0529251834843,Deccenial,2011,J01000029,,,16-64,,not limited
6.808984910836763,Deccenial,2011,J01000030,,,16-64,,limited a lot
7.848079561042525,Deccenial,2011,J01000030,,,16-64,,limited a little
85.3429355281207,Deccenial,2011,J01000030,,,16-64,,not limited
6.036069873835488,Deccenial,2011,J01000031,,,16-64,,limited a lot
8.018127297468705,Deccenial,2011,J01000031,,,16-64,,limited a little
85.9458028286958,Deccenial,2011,J01000031,,,16-64,,not limited
6.8252591465582215,Deccenial,2011,J01000032,,,16-64,,limited a lot
8.315440726890099,Deccenial,2011,J01000032,,,16-64,,limited a little
84.85930012655169,Deccenial,2011,J01000032,,,16-64,,not limited
8.032144650929181,Deccenial,2011,J01000033,,,16-64,,limited a lot
8.841788046207935,Deccenial,2011,J01000033,,,16-64,,limited a little
83.12606730286288,Deccenial,2011,J01000033,,,16-64,,not limited
5.891329479768785,Deccenial,2011,J01000034,,,16-64,,limited a lot
7.801156069364162,Deccenial,2011,J01000034,,,16-64,,limited a little
86.30751445086705,Deccenial,2011,J01000034,,,16-64,,not limited
4.831820972913966,Deccenial,2011,J01000035,,,16-64,,limited a lot
6.776284369243365,Deccenial,2011,J01000035,,,16-64,,limited a little
88.39189465784267,Deccenial,2011,J01000035,,,16-64,,not limited
8.902540474819224,Deccenial,2011,J01000036,,,16-64,,limited a lot
8.568503231586357,Deccenial,2011,J01000036,,,16-64,,limited a little
82.52895629359442,Deccenial,2011,J01000036,,,16-64,,not limited
5.0932214775119045,Deccenial,2011,J01000037,,,16-64,,limited a lot
7.065128151542745,Deccenial,2011,J01000037,,,16-64,,limited a little
87.84165037094535,Deccenial,2011,J01000037,,,16-64,,not limited
4.770523152574785,Deccenial,2011,J01000038,,,16-64,,limited a lot
7.058461958748804,Deccenial,2011,J01000038,,,16-64,,limited a little
88.17101488867641,Deccenial,2011,J01000038,,,16-64,,not limited
6.742764250627276,Deccenial,2011,J01000039,,,16-64,,limited a lot
8.267660882779094,Deccenial,2011,J01000039,,,16-64,,limited a little
84.98957486659363,Deccenial,2011,J01000039,,,16-64,,not limited
2.7565177002766617,Deccenial,2011,J01000040,,,16-64,,limited a lot
4.945576445404795,Deccenial,2011,J01000040,,,16-64,,limited a little
92.29790585431854,Deccenial,2011,J01000040,,,16-64,,not limited
6.5483290900350735,Deccenial,2011,J01000041,,,16-64,,limited a lot
8.236152901169726,Deccenial,2011,J01000041,,,16-64,,limited a little
85.2155180087952,Deccenial,2011,J01000041,,,16-64,,not limited
5.136719861856961,Deccenial,2011,J01000042,,,16-64,,limited a lot
7.525759502077839,Deccenial,2011,J01000042,,,16-64,,limited a little
87.33752063606521,Deccenial,2011,J01000042,,,16-64,,not limited
3.6495246326707003,Deccenial,2011,J01000043,,,16-64,,limited a lot
5.946413137424374,Deccenial,2011,J01000043,,,16-64,,limited a little
90.40406222990492,Deccenial,2011,J01000043,,,16-64,,not limited
9.043361487083436,Deccenial,2011,J01000044,,,16-64,,limited a lot
9.0910697247058,Deccenial,2011,J01000044,,,16-64,,limited a little
81.86556878821077,Deccenial,2011,J01000044,,,16-64,,not limited
7.940973420780118,Deccenial,2011,J01000045,,,16-64,,limited a lot
9.482222989299276,Deccenial,2011,J01000045,,,16-64,,limited a little
82.57680358992062,Deccenial,2011,J01000045,,,16-64,,not limited
4.45248252258682,Deccenial,2011,J01000046,,,16-64,,limited a lot
6.67953480073316,Deccenial,2011,J01000046,,,16-64,,limited a little
88.86798267668003,Deccenial,2011,J01000046,,,16-64,,not limited
3.345764196095602,Deccenial,2011,J01000047,,,16-64,,limited a lot
5.7131641326831035,Deccenial,2011,J01000047,,,16-64,,limited a little
90.9410716712213,Deccenial,2011,J01000047,,,16-64,,not limited
6.1937140411773095,Deccenial,2011,J01000048,,,16-64,,limited a lot
7.548856450002378,Deccenial,2011,J01000048,,,16-64,,limited a little
86.25742950882031,Deccenial,2011,J01000048,,,16-64,,not limited
5.188407651461838,Deccenial,2011,J01000049,,,16-64,,limited a lot
7.404090162710853,Deccenial,2011,J01000049,,,16-64,,limited a little
87.40750218582731,Deccenial,2011,J01000049,,,16-64,,not limited
6.879177597657607,Deccenial,2011,J01000050,,,16-64,,limited a lot
