V4_0,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group
2.462475729848508,Deccenial,2011,J01000025,,,85+
16.78175468734107,Deccenial,2011,J01000026,,,0-15
64.08349626481923,Deccenial,2011,J01000026,,,16-64
19.134749047839698,Deccenial,2011,J01000026,,,65+
2.789236350485404,Deccenial,2011,J01000026,,,85+
19.111527867315242,Deccenial,2011,J01000027,,,0-15
66.99625756649726,Deccenial,2011,J01000027,,,16-64
13.89221456618749,Deccenial,2011,J01000027,,,65+
2.008523036478261,Deccenial,2011,J01000027,,,85+
19.72425133993355,Deccenial,2011,J01000028,,,0-15
65.77133232499563,Deccenial,2011,J01000028,,,16-64
14.504416335070825,Deccenial,2011,J01000028,,,65+
2.0883635169919224,Deccenial,2011,J01000028,,,85+
20.705422514797604,Deccenial,2011,J01000029,,,0-15
66.69534237865031,Deccenial,2011,J01000029,,,16-64
12.59923510655209,Deccenial,2011,J01000029,,,65+
1.9141037749081287,Deccenial,2011,J01000029,,,85+
19.33133397572621,Deccenial,2011,J01000030,,,0-15
63.516776198261205,Deccenial,2011,J01000030,,,16-64
17.15188982601258,Deccenial,2011,J01000030,,,65+
2.410055974795102,Deccenial,2011,J01000030,,,85+
20.38928087582324,Deccenial,2011,J01000031,,,0-15
64.64873881140512,Deccenial,2011,J01000031,,,16-64
14.961980312771638,Deccenial,2011,J01000031,,,65+
2.0709178759093794,Deccenial,2011,J01000031,,,85+
19.173990255452846,Deccenial,2011,J01000032,,,0-15
64.97245116342607,Deccenial,2011,J01000032,,,16-64
15.853558581121078,Deccenial,2011,J01000032,,,65+
2.216656800692136,Deccenial,2011,J01000032,,,85+
21.8281913352398,Deccenial,2011,J01000033,,,0-15
62.94611925068343,Deccenial,2011,J01000033,,,16-64
15.22568941407677,Deccenial,2011,J01000033,,,65+
2.062258279897706,Deccenial,2011,J01000033,,,85+
16.97302743050785,Deccenial,2011,J01000034,,,0-15
60.321472729770576,Deccenial,2011,J01000034,,,16-64
22.705499839721575,Deccenial,2011,J01000034,,,65+
4.1580803223886065,Deccenial,2011,J01000034,,,85+
15.881839886526821,Deccenial,2011,J01000035,,,0-15
69.0900120697402,Deccenial,2011,J01000035,,,16-64
15.028148043732987,Deccenial,2011,J01000035,,,65+
2.505572343555904,Deccenial,2011,J01000035,,,85+
17.892307948619695,Deccenial,2011,J01000036,,,0-15
65.9472202322443,Deccenial,2011,J01000036,,,16-64
16.160471819136,Deccenial,2011,J01000036,,,65+
1.9425886743415024,Deccenial,2011,J01000036,,,85+
19.977533915147326,Deccenial,2011,J01000037,,,0-15
65.82082817285443,Deccenial,2011,J01000037,,,16-64
14.201637911998233,Deccenial,2011,J01000037,,,65+
1.7684841153259023,Deccenial,2011,J01000037,,,85+
19.661635939631275,Deccenial,2011,J01000038,,,0-15
65.21171587392382,Deccenial,2011,J01000038,,,16-64
15.126648186444905,Deccenial,2011,J01000038,,,65+
2.0922251067012803,Deccenial,2011,J01000038,,,85+
19.964189794091318,Deccenial,2011,J01000039,,,0-15
64.56376143150166,Deccenial,2011,J01000039,,,16-64
15.472048774407035,Deccenial,2011,J01000039,,,65+
2.065886245934522,Deccenial,2011,J01000039,,,85+
16.912155936514527,Deccenial,2011,J01000040,,,0-15
69.89241730147813,Deccenial,2011,J01000040,,,16-64
13.195426762007346,Deccenial,2011,J01000040,,,65+
2.1879907081770638,Deccenial,2011,J01000040,,,85+
21.51269657566887,Deccenial,2011,J01000041,,,0-15
63.8436925590578,Deccenial,2011,J01000041,,,16-64
14.643610865273335,Deccenial,2011,J01000041,,,65+
1.9788050014750265,Deccenial,2011,J01000041,,,85+
20.594937788664254,Deccenial,2011,J01000042,,,0-15
64.36953899023872,Deccenial,2011,J01000042,,,16-64
15.035523221097016,Deccenial,2011,J01000042,,,65+
1.963221584469711,Deccenial,2011,J01000042,,,85+
17.861802761770143,Deccenial,2011,J01000043,,,0-15
63.77215396324889,Deccenial,2011,J01000043,,,16-64
18.366043274980974,Deccenial,2011,J01000043,,,65+
3.193976296618463,Deccenial,2011,J01000043,,,85+
19.469922908108718,Deccenial,2011,J01000044,,,0-15
63.88835743627258,Deccenial,2011,J01000044,,,16-64
16.641719655618704,Deccenial,2011,J01000044,,,65+
1.9481177198807047,Deccenial,2011,J01000044,,,85+
18.522179390025588,Deccenial,2011,J01000045,,,0-15
64.31309237477075,Deccenial,2011,J01000045,,,16-64
17.164728235203672,Deccenial,2011,J01000045,,,65+
2.6841509889844373,Deccenial,2011,J01000045,,,85+
19.994311717861205,Deccenial,2011,J01000046,,,0-15
65.10028230733577,Deccenial,2011,J01000046,,,16-64
14.905405974803019,Deccenial,2011,J01000046,,,65+
2.2679391564488265,Deccenial,2011,J01000046,,,85+
21.065744350323886,Deccenial,2011,J01000047,,,0-15
65.84303035632286,Deccenial,2011,J01000047,,,16-64
13.091225293353265,Deccenial,2011,J01000047,,,65+
1.6013522095533996,Deccenial,2011,J01000047,,,85+
19.438597352545887,Deccenial,2011,J01000048,,,0-15
65.60089353110482,Deccenial,2011,J01000048,,,16-64
14.960509116349288,Deccenial,2011,J01000048,,,65+
1.9429392018361573,Deccenial,2011,J01000048,,,85+
19.478879943707444,Deccenial,2011,J01000049,,,0-15
65.65326269169478,Deccenial,2011,J01000049,,,16-64
14.867857364597779,Deccenial,2011,J01000049,,,65+
2.27446760073677,Deccenial,2011,J01000049,,,85+
18.631757766749555,Deccenial,2011,J01000050,,,0-15
66.48400927121106,Deccenial,2011,J01000050,,,16-64
14.884232962039384,Deccenial,2011,J01000050,,,65+
1.9164957917283634,Deccenial,2011,J01000050,,,85+
18.31861315714069,Deccenial,2011,J01000051,,,0-15
69.18244029058303,Deccenial,2011,J01000051,,,16-64
12.498946552276289,Deccenial,2011,J01000051,,,65+
1.7582042508722546,Deccenial,2011,J01000051,,,85+
20.57586625041926,Deccenial,2011,J01000052,,,0-15
67.04378337934416,Deccenial,2011,J01000052,,,16-64
12.38035037023659,Deccenial,2011,J01000052,,,65+
1.750303155396166,Deccenial,2011,J01000052,,,85+
16.573482428115017,Deccenial,2011,J01000053,,,0-15
68.96565495207668,Deccenial,2011,J01000053,,,16-64
14.460862619808307,Deccenial,2011,J01000053,,,65+
2.239416932907348,Deccenial,2011,J01000053,,,85+
17.050267352566784,Deccenial,2011,J01000054,,,0-15
68.42197705095543,Deccenial,2011,J01000054,,,16-64
14.52775559647779,Deccenial,2011,J01000054,,,65+
1.6718362676024459,Deccenial,2011,J01000054,,,85+
19.860282521101663,Deccenial,2011,J01000055,,,0-15
69.09325281653662,Deccenial,2011,J01000055,,,16-64
11.046464662361721,Deccenial,2011,J01000055,,,65+
1.5025586099909667,Deccenial,2011,J01000055,,,85+
22.884750127823963,Deccenial,2011,J01000056,,,0-15
65.17791201923987,Deccenial,2011,J01000056,,,16-64
11.937337852936164,Deccenial,2011,J01000056,,,65+
1.396121726286288,Deccenial,2011,J01000056,,,85+
19.57036803032696,Deccenial,2011,J01000057,,,0-15
64.38718908823994,Deccenial,2011,J01000057,,,16-64
16.042442881433097,Deccenial,2011,J01000057,,,65+
2.2689473830916036,Deccenial,2011,J01000057,,,85+
