V4_0,Time_codelist,Time,Geography_codelist,Geography,Category_codelist,Category,Pay Type_codelist,Pay Type
362.664037358521,Month,Jul 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
368.541813546843,Month,Jul 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
211.393041341632,Month,Jul 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
315.352991464467,Month,Aug 2000,K03000001,,,Whole Economy,,Total Pay
314.991996769667,Month,Aug 2000,K03000001,,,Private sector,,Total Pay
312.812828758219,Month,Aug 2000,K03000001,,,Public sector,,Total Pay
300.158307563524,Month,Aug 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
386.218018414642,Month,Aug 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
312.651007484854,Month,Aug 2000,K03000001,,,Public sector excluding financial services,,Total Pay
362.682066692317,Month,Aug 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
372.727193036054,Month,Aug 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
213.181495279877,Month,Aug 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
317.355540088197,Month,Sep 2000,K03000001,,,Whole Economy,,Total Pay
317.248150264527,Month,Sep 2000,K03000001,,,Private sector,,Total Pay
315.218333201822,Month,Sep 2000,K03000001,,,Public sector,,Total Pay
301.994004515691,Month,Sep 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
390.654531684407,Month,Sep 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
314.414173458339,Month,Sep 2000,K03000001,,,Public sector excluding financial services,,Total Pay
364.998930107044,Month,Sep 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
373.953144506386,Month,Sep 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
214.232275554859,Month,Sep 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
318.047298833366,Month,Oct 2000,K03000001,,,Whole Economy,,Total Pay
317.909686293021,Month,Oct 2000,K03000001,,,Private sector,,Total Pay
316.342208054992,Month,Oct 2000,K03000001,,,Public sector,,Total Pay
302.265079501857,Month,Oct 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
391.904072771589,Month,Oct 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
315.655111985747,Month,Oct 2000,K03000001,,,Public sector excluding financial services,,Total Pay
366.515809898325,Month,Oct 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
379.68330082284,Month,Oct 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
215.665734843924,Month,Oct 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
320.028749436153,Month,Nov 2000,K03000001,,,Whole Economy,,Total Pay
319.744728358283,Month,Nov 2000,K03000001,,,Private sector,,Total Pay
318.778639981052,Month,Nov 2000,K03000001,,,Public sector,,Total Pay
304.066177593794,Month,Nov 2000,K03000001,,,"Services, SIC 2007 sections G-S",,Total Pay
394.307243702939,Month,Nov 2000,K03000001,,,"Finance and business services,SIC 2007 sections K-N",,Total Pay
317.896765594013,Month,Nov 2000,K03000001,,,Public sector excluding financial services,,Total Pay
369.119202226896,Month,Nov 2000,K03000001,,,"Manufacturing, SIC 2007 section C",,Total Pay
381.707612046444,Month,Nov 2000,K03000001,,,"Construction, SIC 2007 section F",,Total Pay
217.133362770259,Month,Nov 2000,K03000001,,,"Wholesaling, retailing, hotels & restaurants, SIC 2007 sections G & I",,Total Pay
325.105330534075,Month,Dec 2000,K03000001,,,Whole Economy,,Total Pay
325.928459360797,Month,Dec 2000,K03000001,,,Private sector,,Total Pay
