V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
105.0,Year,2017,E14000604,,,Enterprise,64-66,64-66 : Finance & insurance
140.0,Year,2017,E14000604,,,Enterprise,68,68 : Property
1110.0,Year,2017,E14000604,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
470.0,Year,2017,E14000604,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000604,,,Enterprise,84,84 : Public administration & defence
110.0,Year,2017,E14000604,,,Enterprise,85,85 : Education
250.0,Year,2017,E14000604,,,Enterprise,86-88,86-88 : Health
315.0,Year,2017,E14000604,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
4625.0,Year,2017,E14000604,,,Enterprise,Total,Total
5.0,Year,2017,E14000615,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
130.0,Year,2017,E14000615,,,Enterprise,05-39,05-39 : Production
275.0,Year,2017,E14000615,,,Enterprise,41-43,41-43 : Construction
50.0,Year,2017,E14000615,,,Enterprise,45,45 : Motor trades
105.0,Year,2017,E14000615,,,Enterprise,46,46 : Wholesale
345.0,Year,2017,E14000615,,,Enterprise,47,47 : Retail
90.0,Year,2017,E14000615,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
275.0,Year,2017,E14000615,,,Enterprise,55-56,55-56 : Accommodation & food services
590.0,Year,2017,E14000615,,,Enterprise,58-63,58-63 : Information & communication
40.0,Year,2017,E14000615,,,Enterprise,64-66,64-66 : Finance & insurance
55.0,Year,2017,E14000615,,,Enterprise,68,68 : Property
965.0,Year,2017,E14000615,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
390.0,Year,2017,E14000615,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000615,,,Enterprise,84,84 : Public administration & defence
105.0,Year,2017,E14000615,,,Enterprise,85,85 : Education
285.0,Year,2017,E14000615,,,Enterprise,86-88,86-88 : Health
420.0,Year,2017,E14000615,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
4125.0,Year,2017,E14000615,,,Enterprise,Total,Total
20.0,Year,2017,E14000621,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
155.0,Year,2017,E14000621,,,Enterprise,05-39,05-39 : Production
745.0,Year,2017,E14000621,,,Enterprise,41-43,41-43 : Construction
95.0,Year,2017,E14000621,,,Enterprise,45,45 : Motor trades
135.0,Year,2017,E14000621,,,Enterprise,46,46 : Wholesale
250.0,Year,2017,E14000621,,,Enterprise,47,47 : Retail
120.0,Year,2017,E14000621,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
180.0,Year,2017,E14000621,,,Enterprise,55-56,55-56 : Accommodation & food services
435.0,Year,2017,E14000621,,,Enterprise,58-63,58-63 : Information & communication
60.0,Year,2017,E14000621,,,Enterprise,64-66,64-66 : Finance & insurance
95.0,Year,2017,E14000621,,,Enterprise,68,68 : Property
630.0,Year,2017,E14000621,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
320.0,Year,2017,E14000621,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000621,,,Enterprise,84,84 : Public administration & defence
60.0,Year,2017,E14000621,,,Enterprise,85,85 : Education
175.0,Year,2017,E14000621,,,Enterprise,86-88,86-88 : Health
215.0,Year,2017,E14000621,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
3690.0,Year,2017,E14000621,,,Enterprise,Total,Total
30.0,Year,2017,E14000629,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
230.0,Year,2017,E14000629,,,Enterprise,05-39,05-39 : Production
555.0,Year,2017,E14000629,,,Enterprise,41-43,41-43 : Construction
60.0,Year,2017,E14000629,,,Enterprise,45,45 : Motor trades
385.0,Year,2017,E14000629,,,Enterprise,46,46 : Wholesale
775.0,Year,2017,E14000629,,,Enterprise,47,47 : Retail
110.0,Year,2017,E14000629,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
365.0,Year,2017,E14000629,,,Enterprise,55-56,55-56 : Accommodation & food services
780.0,Year,2017,E14000629,,,Enterprise,58-63,58-63 : Information & communication
235.0,Year,2017,E14000629,,,Enterprise,64-66,64-66 : Finance & insurance
510.0,Year,2017,E14000629,,,Enterprise,68,68 : Property
2475.0,Year,2017,E14000629,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
965.0,Year,2017,E14000629,,,Enterprise,77-82,77-82 : Business administration & support services
0.0,Year,2017,E14000629,,,Enterprise,84,84 : Public administration & defence
120.0,Year,2017,E14000629,,,Enterprise,85,85 : Education
355.0,Year,2017,E14000629,,,Enterprise,86-88,86-88 : Health
770.0,Year,2017,E14000629,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
8720.0,Year,2017,E14000629,,,Enterprise,Total,Total
5.0,Year,2017,E14000634,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
115.0,Year,2017,E14000634,,,Enterprise,05-39,05-39 : Production
