V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Turnover Size Band_codelist,Turnover Size Band
65.0,Year,2016,E06000057,,,Enterprise,,10000-49999
15.0,Year,2016,E06000057,,,Enterprise,,50000+
11290.0,Year,2016,E06000057,,,Enterprise,,Total
440.0,Year,2016,E06000003,,,Enterprise,,0-49
920.0,Year,2016,E06000003,,,Enterprise,,50-99
1085.0,Year,2016,E06000003,,,Enterprise,,100-249
330.0,Year,2016,E06000003,,,Enterprise,,250-499
175.0,Year,2016,E06000003,,,Enterprise,,500-999
105.0,Year,2016,E06000003,,,Enterprise,,1000-1999
75.0,Year,2016,E06000003,,,Enterprise,,2000-4999
35.0,Year,2016,E06000003,,,Enterprise,,5000-9999
20.0,Year,2016,E06000003,,,Enterprise,,10000-49999
10.0,Year,2016,E06000003,,,Enterprise,,50000+
3195.0,Year,2016,E06000003,,,Enterprise,,Total
770.0,Year,2016,E06000004,,,Enterprise,,0-49
1565.0,Year,2016,E06000004,,,Enterprise,,50-99
1775.0,Year,2016,E06000004,,,Enterprise,,100-249
545.0,Year,2016,E06000004,,,Enterprise,,250-499
330.0,Year,2016,E06000004,,,Enterprise,,500-999
205.0,Year,2016,E06000004,,,Enterprise,,1000-1999
160.0,Year,2016,E06000004,,,Enterprise,,2000-4999
70.0,Year,2016,E06000004,,,Enterprise,,5000-9999
55.0,Year,2016,E06000004,,,Enterprise,,10000-49999
20.0,Year,2016,E06000004,,,Enterprise,,50000+
5495.0,Year,2016,E06000004,,,Enterprise,,Total
3565.0,Year,2016,E11000007,,,Enterprise,,0-49
6670.0,Year,2016,E11000007,,,Enterprise,,50-99
8615.0,Year,2016,E11000007,,,Enterprise,,100-249
3685.0,Year,2016,E11000007,,,Enterprise,,250-499
2110.0,Year,2016,E11000007,,,Enterprise,,500-999
1150.0,Year,2016,E11000007,,,Enterprise,,1000-1999
765.0,Year,2016,E11000007,,,Enterprise,,2000-4999
305.0,Year,2016,E11000007,,,Enterprise,,5000-9999
285.0,Year,2016,E11000007,,,Enterprise,,10000-49999
100.0,Year,2016,E11000007,,,Enterprise,,50000+
27250.0,Year,2016,E11000007,,,Enterprise,,Total
675.0,Year,2016,E08000037,,,Enterprise,,0-49
1145.0,Year,2016,E08000037,,,Enterprise,,50-99
1515.0,Year,2016,E08000037,,,Enterprise,,100-249
700.0,Year,2016,E08000037,,,Enterprise,,250-499
445.0,Year,2016,E08000037,,,Enterprise,,500-999
265.0,Year,2016,E08000037,,,Enterprise,,1000-1999
180.0,Year,2016,E08000037,,,Enterprise,,2000-4999
75.0,Year,2016,E08000037,,,Enterprise,,5000-9999
65.0,Year,2016,E08000037,,,Enterprise,,10000-49999
15.0,Year,2016,E08000037,,,Enterprise,,50000+
5080.0,Year,2016,E08000037,,,Enterprise,,Total
1085.0,Year,2016,E08000021,,,Enterprise,,0-49
1815.0,Year,2016,E08000021,,,Enterprise,,50-99
2480.0,Year,2016,E08000021,,,Enterprise,,100-249
1085.0,Year,2016,E08000021,,,Enterprise,,250-499
665.0,Year,2016,E08000021,,,Enterprise,,500-999
350.0,Year,2016,E08000021,,,Enterprise,,1000-1999
215.0,Year,2016,E08000021,,,Enterprise,,2000-4999
105.0,Year,2016,E08000021,,,Enterprise,,5000-9999
85.0,Year,2016,E08000021,,,Enterprise,,10000-49999
40.0,Year,2016,E08000021,,,Enterprise,,50000+
7925.0,Year,2016,E08000021,,,Enterprise,,Total
710.0,Year,2016,E08000022,,,Enterprise,,0-49
1325.0,Year,2016,E08000022,,,Enterprise,,50-99
1625.0,Year,2016,E08000022,,,Enterprise,,100-249
640.0,Year,2016,E08000022,,,Enterprise,,250-499
335.0,Year,2016,E08000022,,,Enterprise,,500-999
170.0,Year,2016,E08000022,,,Enterprise,,1000-1999
135.0,Year,2016,E08000022,,,Enterprise,,2000-4999
50.0,Year,2016,E08000022,,,Enterprise,,5000-9999
50.0,Year,2016,E08000022,,,Enterprise,,10000-49999
20.0,Year,2016,E08000022,,,Enterprise,,50000+
5060.0,Year,2016,E08000022,,,Enterprise,,Total
410.0,Year,2016,E08000023,,,Enterprise,,0-49
945.0,Year,2016,E08000023,,,Enterprise,,50-99
1130.0,Year,2016,E08000023,,,Enterprise,,100-249
430.0,Year,2016,E08000023,,,Enterprise,,250-499
200.0,Year,2016,E08000023,,,Enterprise,,500-999
115.0,Year,2016,E08000023,,,Enterprise,,1000-1999
75.0,Year,2016,E08000023,,,Enterprise,,2000-4999
20.0,Year,2016,E08000023,,,Enterprise,,5000-9999
30.0,Year,2016,E08000023,,,Enterprise,,10000-49999
5.0,Year,2016,E08000023,,,Enterprise,,50000+
3360.0,Year,2016,E08000023,,,Enterprise,,Total
685.0,Year,2016,E08000024,,,Enterprise,,0-49
1440.0,Year,2016,E08000024,,,Enterprise,,50-99
1865.0,Year,2016,E08000024,,,Enterprise,,100-249
830.0,Year,2016,E08000024,,,Enterprise,,250-499
465.0,Year,2016,E08000024,,,Enterprise,,500-999
250.0,Year,2016,E08000024,,,Enterprise,,1000-1999
160.0,Year,2016,E08000024,,,Enterprise,,2000-4999
55.0,Year,2016,E08000024,,,Enterprise,,5000-9999
55.0,Year,2016,E08000024,,,Enterprise,,10000-49999
20.0,Year,2016,E08000024,,,Enterprise,,50000+
5825.0,Year,2016,E08000024,,,Enterprise,,Total
43465.0,Year,2016,E12000002,,,Enterprise,,0-49
65960.0,Year,2016,E12000002,,,Enterprise,,50-99
78170.0,Year,2016,E12000002,,,Enterprise,,100-249
30940.0,Year,2016,E12000002,,,Enterprise,,250-499
18195.0,Year,2016,E12000002,,,Enterprise,,500-999
10350.0,Year,2016,E12000002,,,Enterprise,,1000-1999
7225.0,Year,2016,E12000002,,,Enterprise,,2000-4999
2785.0,Year,2016,E12000002,,,Enterprise,,5000-9999
2280.0,Year,2016,E12000002,,,Enterprise,,10000-49999
690.0,Year,2016,E12000002,,,Enterprise,,50000+
260060.0,Year,2016,E12000002,,,Enterprise,,Total
710.0,Year,2016,E06000008,,,Enterprise,,0-49
1055.0,Year,2016,E06000008,,,Enterprise,,50-99
1405.0,Year,2016,E06000008,,,Enterprise,,100-249
610.0,Year,2016,E06000008,,,Enterprise,,250-499
335.0,Year,2016,E06000008,,,Enterprise,,500-999
230.0,Year,2016,E06000008,,,Enterprise,,1000-1999
170.0,Year,2016,E06000008,,,Enterprise,,2000-4999
70.0,Year,2016,E06000008,,,Enterprise,,5000-9999
50.0,Year,2016,E06000008,,,Enterprise,,10000-49999
20.0,Year,2016,E06000008,,,Enterprise,,50000+
4655.0,Year,2016,E06000008,,,Enterprise,,Total
475.0,Year,2016,E06000009,,,Enterprise,,0-49
1125.0,Year,2016,E06000009,,,Enterprise,,50-99
1225.0,Year,2016,E06000009,,,Enterprise,,100-249
470.0,Year,2016,E06000009,,,Enterprise,,250-499
265.0,Year,2016,E06000009,,,Enterprise,,500-999
145.0,Year,2016,E06000009,,,Enterprise,,1000-1999
95.0,Year,2016,E06000009,,,Enterprise,,2000-4999
30.0,Year,2016,E06000009,,,Enterprise,,5000-9999
30.0,Year,2016,E06000009,,,Enterprise,,10000-49999
5.0,Year,2016,E06000009,,,Enterprise,,50000+
3865.0,Year,2016,E06000009,,,Enterprise,,Total
3565.0,Year,2016,E06000049,,,Enterprise,,0-49
4670.0,Year,2016,E06000049,,,Enterprise,,50-99
6155.0,Year,2016,E06000049,,,Enterprise,,100-249
2365.0,Year,2016,E06000049,,,Enterprise,,250-499
1490.0,Year,2016,E06000049,,,Enterprise,,500-999
810.0,Year,2016,E06000049,,,Enterprise,,1000-1999
535.0,Year,2016,E06000049,,,Enterprise,,2000-4999
200.0,Year,2016,E06000049,,,Enterprise,,5000-9999
195.0,Year,2016,E06000049,,,Enterprise,,10000-49999
50.0,Year,2016,E06000049,,,Enterprise,,50000+
20035.0,Year,2016,E06000049,,,Enterprise,,Total
2500.0,Year,2016,E06000050,,,Enterprise,,0-49
3475.0,Year,2016,E06000050,,,Enterprise,,50-99
4245.0,Year,2016,E06000050,,,Enterprise,,100-249
1545.0,Year,2016,E06000050,,,Enterprise,,250-499
1040.0,Year,2016,E06000050,,,Enterprise,,500-999
565.0,Year,2016,E06000050,,,Enterprise,,1000-1999
375.0,Year,2016,E06000050,,,Enterprise,,2000-4999
120.0,Year,2016,E06000050,,,Enterprise,,5000-9999
125.0,Year,2016,E06000050,,,Enterprise,,10000-49999
40.0,Year,2016,E06000050,,,Enterprise,,50000+
14030.0,Year,2016,E06000050,,,Enterprise,,Total
685.0,Year,2016,E06000006,,,Enterprise,,0-49
915.0,Year,2016,E06000006,,,Enterprise,,50-99
955.0,Year,2016,E06000006,,,Enterprise,,100-249
390.0,Year,2016,E06000006,,,Enterprise,,250-499
230.0,Year,2016,E06000006,,,Enterprise,,500-999
180.0,Year,2016,E06000006,,,Enterprise,,1000-1999
135.0,Year,2016,E06000006,,,Enterprise,,2000-4999
70.0,Year,2016,E06000006,,,Enterprise,,5000-9999
80.0,Year,2016,E06000006,,,Enterprise,,10000-49999
20.0,Year,2016,E06000006,,,Enterprise,,50000+
3660.0,Year,2016,E06000006,,,Enterprise,,Total
1335.0,Year,2016,E06000007,,,Enterprise,,0-49
2040.0,Year,2016,E06000007,,,Enterprise,,50-99
2435.0,Year,2016,E06000007,,,Enterprise,,100-249
845.0,Year,2016,E06000007,,,Enterprise,,250-499
510.0,Year,2016,E06000007,,,Enterprise,,500-999
310.0,Year,2016,E06000007,,,Enterprise,,1000-1999
255.0,Year,2016,E06000007,,,Enterprise,,2000-4999
