V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
9965.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,10-19
1980.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,20-49
160.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
40.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
5.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,250+
437450.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,Total
143825.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,0-4
36420.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,5-9
14655.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,10-19
7615.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,20-49
975.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,50-99
230.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,100-249
45.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,250+
203765.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,Total
25.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-4
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5-9
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10-19
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,20-49
15.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
35.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
80.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250+
185.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
65.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,0-4
40.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,5-9
115.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,10-19
730.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,20-49
915.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,50-99
1395.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,100-249
790.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,250+
4050.0,Year,2017,K03000001,,,Enterprise,5,5 - Central Government,,Total
5930.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,0-4
515.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,5-9
280.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,10-19
385.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,20-49
330.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,50-99
200.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,100-249
465.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,250+
8105.0,Year,2017,K03000001,,,Enterprise,6,6 - Local Authority,,Total
52180.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-4
14215.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5-9
8865.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10-19
4995.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,20-49
1895.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
1425.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
1200.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250+
84775.0,Year,2017,K03000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
2033005.0,Year,2017,K03000001,,,Enterprise,Total,Total,,0-4
291010.0,Year,2017,K03000001,,,Enterprise,Total,Total,,5-9
146865.0,Year,2017,K03000001,,,Enterprise,Total,Total,,10-19
78155.0,Year,2017,K03000001,,,Enterprise,Total,Total,,20-49
25215.0,Year,2017,K03000001,,,Enterprise,Total,Total,,50-99
14225.0,Year,2017,K03000001,,,Enterprise,Total,Total,,100-249
9620.0,Year,2017,K03000001,,,Enterprise,Total,Total,,250+
2598095.0,Year,2017,K03000001,,,Enterprise,Total,Total,,Total
1366355.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-4
184145.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,5-9
105105.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,10-19
58100.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,20-49
19440.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
10100.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
6545.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,250+
1749790.0,Year,2017,K04000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
352045.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,0-4
38525.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,5-9
9000.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,10-19
1795.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,20-49
135.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
35.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
5.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,250+
401540.0,Year,2017,K04000001,,,Enterprise,2,2 - Sole Proprietor,,Total
130335.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,0-4
32275.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,5-9
12750.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,10-19
6845.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,20-49
895.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,50-99
205.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,100-249
35.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,250+
183340.0,Year,2017,K04000001,,,Enterprise,3,3 - Partnership,,Total
20.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-4
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5-9
5.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10-19
10.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,20-49
15.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
35.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
75.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250+
170.0,Year,2017,K04000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
60.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,0-4
40.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,5-9
115.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,10-19
725.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,20-49
905.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,50-99
1385.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,100-249
720.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,250+
3950.0,Year,2017,K04000001,,,Enterprise,5,5 - Central Government,,Total
5915.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,0-4
510.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,5-9
275.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,10-19
380.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,20-49
325.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,50-99
200.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,100-249
430.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,250+
8035.0,Year,2017,K04000001,,,Enterprise,6,6 - Local Authority,,Total
47545.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-4
12590.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5-9
7880.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10-19
4475.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,20-49
1730.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50-99
1305.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,100-249
1120.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,250+
76645.0,Year,2017,K04000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
1902275.0,Year,2017,K04000001,,,Enterprise,Total,Total,,0-4
268095.0,Year,2017,K04000001,,,Enterprise,Total,Total,,5-9
135130.0,Year,2017,K04000001,,,Enterprise,Total,Total,,10-19
72330.0,Year,2017,K04000001,,,Enterprise,Total,Total,,20-49
23445.0,Year,2017,K04000001,,,Enterprise,Total,Total,,50-99
13265.0,Year,2017,K04000001,,,Enterprise,Total,Total,,100-249
8930.0,Year,2017,K04000001,,,Enterprise,Total,Total,,250+
2423470.0,Year,2017,K04000001,,,Enterprise,Total,Total,,Total
1325610.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-4
176875.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,5-9
101030.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,10-19
55585.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,20-49
18645.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
9685.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
6335.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,250+
1693765.0,Year,2017,E92000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
329460.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,0-4
35915.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,5-9
8405.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,10-19
1695.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,20-49
130.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
35.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
5.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,250+
375645.0,Year,2017,E92000001,,,Enterprise,2,2 - Sole Proprietor,,Total
117830.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,0-4
29900.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,5-9
11775.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,10-19
6395.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,20-49
850.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,50-99
200.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,100-249
35.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,250+
166985.0,Year,2017,E92000001,,,Enterprise,3,3 - Partnership,,Total
20.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-4
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,5-9
5.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,10-19
10.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,20-49
15.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
35.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
65.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,250+
160.0,Year,2017,E92000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,Total
60.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,0-4
40.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,5-9
110.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,10-19
720.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,20-49
900.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,50-99
1380.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,100-249
700.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,250+
3910.0,Year,2017,E92000001,,,Enterprise,5,5 - Central Government,,Total
5540.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,0-4
475.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,5-9
265.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,10-19
370.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,20-49
325.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,50-99
195.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,100-249
400.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,250+
7570.0,Year,2017,E92000001,,,Enterprise,6,6 - Local Authority,,Total
45305.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,0-4
11860.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5-9
7410.0,Year,2017,E92000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10-19
