V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07
3240.0,Year,2016,E12000001,,,Enterprise,58-63,58-63 : Information & communication
1015.0,Year,2016,E12000001,,,Enterprise,64-66,64-66 : Finance & insurance
2005.0,Year,2016,E12000001,,,Enterprise,68,68 : Property
12070.0,Year,2016,E12000001,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
5295.0,Year,2016,E12000001,,,Enterprise,77-82,77-82 : Business administration & support services
220.0,Year,2016,E12000001,,,Enterprise,84,84 : Public administration & defence
1280.0,Year,2016,E12000001,,,Enterprise,85,85 : Education
3400.0,Year,2016,E12000001,,,Enterprise,86-88,86-88 : Health
4960.0,Year,2016,E12000001,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
69830.0,Year,2016,E12000001,,,Enterprise,Total,Total
1345.0,Year,2016,E06000047,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
995.0,Year,2016,E06000047,,,Enterprise,05-39,05-39 : Production
1890.0,Year,2016,E06000047,,,Enterprise,41-43,41-43 : Construction
555.0,Year,2016,E06000047,,,Enterprise,45,45 : Motor trades
415.0,Year,2016,E06000047,,,Enterprise,46,46 : Wholesale
1130.0,Year,2016,E06000047,,,Enterprise,47,47 : Retail
740.0,Year,2016,E06000047,,,Enterprise,49-53,49-53 : Transport & Storage (inc. postal)
1130.0,Year,2016,E06000047,,,Enterprise,55-56,55-56 : Accommodation & food services
475.0,Year,2016,E06000047,,,Enterprise,58-63,58-63 : Information & communication
170.0,Year,2016,E06000047,,,Enterprise,64-66,64-66 : Finance & insurance
325.0,Year,2016,E06000047,,,Enterprise,68,68 : Property
1745.0,Year,2016,E06000047,,,Enterprise,69-75,"69-75 : Professional, scientific & technical"
970.0,Year,2016,E06000047,,,Enterprise,77-82,77-82 : Business administration & support services
75.0,Year,2016,E06000047,,,Enterprise,84,84 : Public administration & defence
240.0,Year,2016,E06000047,,,Enterprise,85,85 : Education
590.0,Year,2016,E06000047,,,Enterprise,86-88,86-88 : Health
1000.0,Year,2016,E06000047,,,Enterprise,90-99,"90-99 : Arts, entertainment, recreation & other"
13790.0,Year,2016,E06000047,,,Enterprise,Total,Total
170.0,Year,2016,E06000005,,,Enterprise,01-03,"01-03 : Agriculture, forestry & fishing"
185.0,Year,2016,E06000005,,,Enterprise,05-39,05-39 : Production
355.0,Year,2016,E06000005,,,Enterprise,41-43,41-43 : Construction
140.0,Year,2016,E06000005,,,Enterprise,45,45 : Motor trades
90.0,Year,2016,E06000005,,,Enterprise,46,46 : Wholesale
