V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,Legal status_codelist,Legal status,Size Band_codelist,Size Band
2850.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,2000-4999
1130.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,5000-9999
970.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,10000-49999
270.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,50000+
88135.0,Year,2017,K02000001,,,Enterprise,7,7 - Non-profit Body or Mutual Association,,Total
458070.0,Year,2017,K02000001,,,Enterprise,Total,Total,,0-49
638280.0,Year,2017,K02000001,,,Enterprise,Total,Total,,50-99
826600.0,Year,2017,K02000001,,,Enterprise,Total,Total,,100-249
321315.0,Year,2017,K02000001,,,Enterprise,Total,Total,,250-499
186350.0,Year,2017,K02000001,,,Enterprise,Total,Total,,500-999
106970.0,Year,2017,K02000001,,,Enterprise,Total,Total,,1000-1999
72745.0,Year,2017,K02000001,,,Enterprise,Total,Total,,2000-4999
27350.0,Year,2017,K02000001,,,Enterprise,Total,Total,,5000-9999
23590.0,Year,2017,K02000001,,,Enterprise,Total,Total,,10000-49999
7540.0,Year,2017,K02000001,,,Enterprise,Total,Total,,50000+
2668810.0,Year,2017,K02000001,,,Enterprise,Total,Total,,Total
264580.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,0-49
470000.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,50-99
577290.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,100-249
210240.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,250-499
139140.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,500-999
85635.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,1000-1999
61685.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,2000-4999
23600.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,5000-9999
21005.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,10000-49999
6590.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,50000+
1859765.0,Year,2017,K03000001,,,Enterprise,1,1 - Company (incl. Building Society),,Total
107360.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,0-49
108190.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,50-99
144785.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,100-249
55770.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,250-499
15900.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,500-999
4190.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,1000-1999
1065.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,2000-4999
150.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,5000-9999
40.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,10000-49999
0.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,50000+
437450.0,Year,2017,K03000001,,,Enterprise,2,2 - Sole Proprietor,,Total
40065.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,0-49
33245.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,50-99
64015.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,100-249
34400.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,250-499
18130.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,500-999
9255.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,1000-1999
3680.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,2000-4999
600.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,5000-9999
310.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,10000-49999
60.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,50000+
203760.0,Year,2017,K03000001,,,Enterprise,3,3 - Partnership,,Total
5.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,0-49
0.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,50-99
10.0,Year,2017,K03000001,,,Enterprise,4,4 - Public Corporation/Nationalised Body,,100-249
