V4_0,Time_codelist,Time,Geography_codelist,Geography,Entity Type_codelist,Entity Type,SIC07_codelist,SIC07,Turnover Size Band_codelist,Turnover Size Band
60.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,50-99
75.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,100-249
30.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,250-499
15.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,500-999
10.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,1000-4999
0.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,5000+
270.0,Year,2017,E12000005,,,Enterprise,02,02 : Forestry and logging,,Total
70.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,0-49
80.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,50-99
80.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,100-249
40.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,250-499
15.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,500-999
10.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,1000-4999
0.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,5000+
295.0,Year,2017,E12000006,,,Enterprise,02,02 : Forestry and logging,,Total
60.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,0-49
35.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,50-99
45.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,100-249
15.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,250-499
5.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,500-999
5.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,1000-4999
0.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,5000+
165.0,Year,2017,E12000007,,,Enterprise,02,02 : Forestry and logging,,Total
175.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,0-49
145.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,50-99
200.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,100-249
75.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,250-499
15.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,500-999
30.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,1000-4999
5.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,5000+
645.0,Year,2017,E12000008,,,Enterprise,02,02 : Forestry and logging,,Total
160.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,0-49
130.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,50-99
160.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,100-249
55.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,250-499
20.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,500-999
15.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,1000-4999
5.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,5000+
545.0,Year,2017,E12000009,,,Enterprise,02,02 : Forestry and logging,,Total
110.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,0-49
70.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,50-99
70.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,100-249
35.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,250-499
25.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,500-999
10.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,1000-4999
5.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,5000+
325.0,Year,2017,W92000004,,,Enterprise,02,02 : Forestry and logging,,Total
325.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,0-49
190.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,50-99
245.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,100-249
105.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,250-499
70.0,Year,2017,S92000003,,,Enterprise,02,02 : Forestry and logging,,500-999
