V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Pension Type_codelist,Pension Type
,x,32.0,Year,2016,K02000001,,,16 - 21,,Less than £100,,All,,Group stakeholder pension
,x,58.0,Year,2016,K02000001,,,16 - 21,,Less than £100,,All,,Unknown pension provision
545.0,,1.4,Year,2016,K02000001,,,16 - 21,,Less than £100,,All,,No pension provisiond
18.0,,9.3,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Defined benefit
35.0,,6.3,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Defined contribution
8.0,,15.0,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Group personal pension
,x,41.0,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Group self-invested personal pension
,x,23.0,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Group stakeholder pension
,x,45.0,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,Unknown pension provision
404.0,,1.7,Year,2016,K02000001,,,16 - 21,,£100 - £200,,All,,No pension provisiond
22.0,,8.5,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Defined benefit
31.0,,7.1,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Defined contribution
17.0,,11.0,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Group personal pension
,x,58.0,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Group self-invested personal pension
6.0,,18.0,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Group stakeholder pension
,x,39.0,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,Unknown pension provision
312.0,,2.1,Year,2016,K02000001,,,16 - 21,,£200 - £300,,All,,No pension provisiond
25.0,,9.1,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Defined benefit
28.0,,8.2,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Defined contribution
23.0,,9.4,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Group personal pension
,x,58.0,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Group self-invested personal pension
6.0,,18.0,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Group stakeholder pension
,x,51.0,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,Unknown pension provision
190.0,,2.9,Year,2016,K02000001,,,16 - 21,,£300 - £400,,All,,No pension provisiond
11.0,,13.0,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Defined benefit
9.0,,15.0,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Defined contribution
7.0,,19.0,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Group personal pension
,x,51.0,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Group self-invested personal pension
,x,26.0,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Group stakeholder pension
,x,,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,Unknown pension provision
56.0,,5.8,Year,2016,K02000001,,,16 - 21,,£400 - £500,,All,,No pension provisiond
,x,21.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Defined benefit
,x,24.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Defined contribution
,x,38.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Group personal pension
,-,0.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Group self-invested personal pension
,-,0.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Group stakeholder pension
,-,0.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,Unknown pension provision
15.0,,11.0,Year,2016,K02000001,,,16 - 21,,£500 - £600,,All,,No pension provisiond
,x,26.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Defined benefit
,x,24.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Defined contribution
,x,37.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group personal pension
,x,97.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group self-invested personal pension
,x,40.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group stakeholder pension
,-,0.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Unknown pension provision
17.0,,11.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,No pension provisiond
946.0,,1.3,Year,2016,K02000001,,,22 - 29,,Total,,All,,Defined benefit
1170.0,,1.1,Year,2016,K02000001,,,22 - 29,,Total,,All,,Defined contribution
769.0,,1.4,Year,2016,K02000001,,,22 - 29,,Total,,All,,Group personal pension
27.0,,7.9,Year,2016,K02000001,,,22 - 29,,Total,,All,,Group self-invested personal pension
225.0,,2.6,Year,2016,K02000001,,,22 - 29,,Total,,All,,Group stakeholder pension
72.0,,4.7,Year,2016,K02000001,,,22 - 29,,Total,,All,,Unknown pension provision
1648.0,,0.9,Year,2016,K02000001,,,22 - 29,,Total,,All,,No pension provisiond
24.0,,7.5,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Defined benefit
23.0,,7.1,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Defined contribution
6.0,,15.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group personal pension
,x,59.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group stakeholder pension
,x,45.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Unknown pension provision
176.0,,2.7,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,No pension provisiond
52.0,,5.1,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Defined benefit
108.0,,3.4,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Defined contribution
31.0,,6.6,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group personal pension
,x,39.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group self-invested personal pension
15.0,,9.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Group stakeholder pension
4.0,,18.0,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Unknown pension provision
303.0,,2.1,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,No pension provisiond
98.0,,3.8,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Defined benefit
222.0,,2.4,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Defined contribution
83.0,,4.1,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group personal pension
,x,25.0,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group self-invested personal pension
28.0,,6.6,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Group stakeholder pension
12.0,,11.0,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,Unknown pension provision
279.0,,2.2,Year,2016,K02000001,,,22 - 29,,£200 - £300,,All,,No pension provisiond
155.0,,3.0,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Defined benefit
302.0,,2.1,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Defined contribution
187.0,,2.8,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group personal pension
5.0,,17.0,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group self-invested personal pension
53.0,,5.1,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Group stakeholder pension
19.0,,8.8,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,Unknown pension provision
358.0,,2.1,Year,2016,K02000001,,,22 - 29,,£300 - £400,,All,,No pension provisiond
201.0,,2.8,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Defined benefit
206.0,,2.7,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Defined contribution
170.0,,3.1,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group personal pension
6.0,,17.0,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group self-invested personal pension
51.0,,5.7,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Group stakeholder pension
15.0,,11.0,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,Unknown pension provision
251.0,,2.6,Year,2016,K02000001,,,22 - 29,,£400 - £500,,All,,No pension provisiond
188.0,,3.0,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Defined benefit
120.0,,3.7,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Defined contribution
117.0,,3.9,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group personal pension
5.0,,19.0,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group self-invested personal pension
30.0,,7.5,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Group stakeholder pension
10.0,,13.0,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,Unknown pension provision
129.0,,3.7,Year,2016,K02000001,,,22 - 29,,£500 - £600,,All,,No pension provisiond
229.0,,2.7,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Defined benefit
189.0,,3.0,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Defined contribution
176.0,,3.2,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group personal pension
7.0,,17.0,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group self-invested personal pension
46.0,,6.3,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Group stakeholder pension
11.0,,13.0,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,Unknown pension provision
152.0,,3.5,Year,2016,K02000001,,,22 - 29,,£600 and over,,All,,No pension provisiond
1774.0,,0.9,Year,2016,K02000001,,,30 - 39,,Total,,All,,Defined benefit
1327.0,,1.0,Year,2016,K02000001,,,30 - 39,,Total,,All,,Defined contribution
1033.0,,1.2,Year,2016,K02000001,,,30 - 39,,Total,,All,,Group personal pension
44.0,,6.4,Year,2016,K02000001,,,30 - 39,,Total,,All,,Group self-invested personal pension
319.0,,2.2,Year,2016,K02000001,,,30 - 39,,Total,,All,,Group stakeholder pension
85.0,,4.4,Year,2016,K02000001,,,30 - 39,,Total,,All,,Unknown pension provision
1720.0,,0.9,Year,2016,K02000001,,,30 - 39,,Total,,All,,No pension provisiond
39.0,,5.8,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Defined benefit
20.0,,8.1,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Defined contribution
7.0,,14.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group personal pension
,-,0.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group self-invested personal pension
,x,24.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Group stakeholder pension
,x,38.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,Unknown pension provision
147.0,,3.0,Year,2016,K02000001,,,30 - 39,,Less than £100,,All,,No pension provisiond
115.0,,3.5,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Defined benefit
96.0,,3.7,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Defined contribution
42.0,,5.8,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group personal pension
,x,27.0,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group self-invested personal pension
20.0,,7.9,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Group stakeholder pension
4.0,,18.0,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,Unknown pension provision
345.0,,2.0,Year,2016,K02000001,,,30 - 39,,£100 - £200,,All,,No pension provisiond
146.0,,3.1,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Defined benefit
168.0,,2.8,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Defined contribution
65.0,,4.6,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group personal pension
,x,27.0,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group self-invested personal pension
30.0,,6.5,Year,2016,K02000001,,,30 - 39,,£200 - £300,,All,,Group stakeholder pension
