V4_2,Data_Marking,CV,Time_codelist,Time,Geography_codelist,Geography,Age Group_codelist,Age Group,Earnings_codelist,Earnings,Gender_codelist,Gender,Provision_codelist,Provision
,x,23.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Defined contribution
,x,36.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group personal pension
,x,96.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group self-invested personal pension
,x,39.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Group stakeholder pension
0.0,,0.0,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,Unknown pension provision
65.7,,6.3,Year,2016,K02000001,,,16 - 21,,£600 and over,,All,,No pension provision
19.5,,1.1,Year,2016,K02000001,,,22 - 29,,All,,All,,Defined benefit
24.1,,1.0,Year,2016,K02000001,,,22 - 29,,All,,All,,Defined contribution
15.8,,1.3,Year,2016,K02000001,,,22 - 29,,All,,All,,Group personal pension
0.6,,7.9,Year,2016,K02000001,,,22 - 29,,All,,All,,Group self-invested personal pension
4.6,,2.6,Year,2016,K02000001,,,22 - 29,,All,,All,,Group stakeholder pension
1.5,,4.7,Year,2016,K02000001,,,22 - 29,,All,,All,,Unknown pension provision
33.9,,0.8,Year,2016,K02000001,,,22 - 29,,All,,All,,No pension provision
10.4,,7.1,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Defined benefit
10.1,,6.8,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Defined contribution
2.4,,15.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group personal pension
,x,59.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group self-invested personal pension
,x,27.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Group stakeholder pension
,x,45.0,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,Unknown pension provision
76.0,,1.3,Year,2016,K02000001,,,22 - 29,,Less than £100,,All,,No pension provision
10.0,,4.9,Year,2016,K02000001,,,22 - 29,,£100 - £200,,All,,Defined benefit
