V4_0,Time_codelist,Time,Geography_codelist,Geography,Transactions_codelist,Transactions,Flow_codelist,Flow
1613,Quarter,1993 Q2,K02000001,,,Total Value,,Acquisition
1441,Quarter,1993 Q3,K02000001,,,Total Value,,Acquisition
1051,Quarter,1993 Q4,K02000001,,,Total Value,,Acquisition
1953,Quarter,1994 Q1,K02000001,,,Total Value,,Acquisition
651,Quarter,1994 Q2,K02000001,,,Total Value,,Acquisition
1176,Quarter,1994 Q3,K02000001,,,Total Value,,Acquisition
1433,Quarter,1994 Q4,K02000001,,,Total Value,,Acquisition
2423,Quarter,1995 Q1,K02000001,,,Total Value,,Acquisition
1326,Quarter,1995 Q2,K02000001,,,Total Value,,Acquisition
3469,Quarter,1995 Q3,K02000001,,,Total Value,,Acquisition
5599,Quarter,1995 Q4,K02000001,,,Total Value,,Acquisition
1724,Quarter,1996 Q1,K02000001,,,Total Value,,Acquisition
5492,Quarter,1996 Q2,K02000001,,,Total Value,,Acquisition
1020,Quarter,1996 Q3,K02000001,,,Total Value,,Acquisition
1277,Quarter,1996 Q4,K02000001,,,Total Value,,Acquisition
6350,Quarter,1997 Q1,K02000001,,,Total Value,,Acquisition
3201,Quarter,1997 Q2,K02000001,,,Total Value,,Acquisition
2378,Quarter,1997 Q3,K02000001,,,Total Value,,Acquisition
3788,Quarter,1997 Q4,K02000001,,,Total Value,,Acquisition
8976,Quarter,1998 Q1,K02000001,,,Total Value,,Acquisition
9488,Quarter,1998 Q2,K02000001,,,Total Value,,Acquisition
9458,Quarter,1998 Q3,K02000001,,,Total Value,,Acquisition
4491,Quarter,1998 Q4,K02000001,,,Total Value,,Acquisition
8179,Quarter,1999 Q1,K02000001,,,Total Value,,Acquisition
7774,Quarter,1999 Q2,K02000001,,,Total Value,,Acquisition
10744,Quarter,1999 Q3,K02000001,,,Total Value,,Acquisition
34163,Quarter,1999 Q4,K02000001,,,Total Value,,Acquisition
4920,Quarter,2000 Q1,K02000001,,,Total Value,,Acquisition
14097,Quarter,2000 Q2,K02000001,,,Total Value,,Acquisition
38192,Quarter,2000 Q3,K02000001,,,Total Value,,Acquisition
7409,Quarter,2000 Q4,K02000001,,,Total Value,,Acquisition
9373,Quarter,2001 Q1,K02000001,,,Total Value,,Acquisition
6948,Quarter,2001 Q2,K02000001,,,Total Value,,Acquisition
4148,Quarter,2001 Q3,K02000001,,,Total Value,,Acquisition
3913,Quarter,2001 Q4,K02000001,,,Total Value,,Acquisition
2820,Quarter,2002 Q1,K02000001,,,Total Value,,Acquisition
4771,Quarter,2002 Q2,K02000001,,,Total Value,,Acquisition
8529,Quarter,2002 Q3,K02000001,,,Total Value,,Acquisition
678,Quarter,2002 Q4,K02000001,,,Total Value,,Acquisition
769,Quarter,2003 Q1,K02000001,,,Total Value,,Acquisition
2298,Quarter,2003 Q2,K02000001,,,Total Value,,Acquisition
2798,Quarter,2003 Q3,K02000001,,,Total Value,,Acquisition
3444,Quarter,2003 Q4,K02000001,,,Total Value,,Acquisition
2598,Quarter,2004 Q1,K02000001,,,Total Value,,Acquisition
9410,Quarter,2004 Q2,K02000001,,,Total Value,,Acquisition
5666,Quarter,2004 Q3,K02000001,,,Total Value,,Acquisition
12254,Quarter,2004 Q4,K02000001,,,Total Value,,Acquisition
11912,Quarter,2005 Q1,K02000001,,,Total Value,,Acquisition
9019,Quarter,2005 Q2,K02000001,,,Total Value,,Acquisition
13854,Quarter,2005 Q3,K02000001,,,Total Value,,Acquisition
15495,Quarter,2005 Q4,K02000001,,,Total Value,,Acquisition
24192,Quarter,2006 Q1,K02000001,,,Total Value,,Acquisition
18530,Quarter,2006 Q2,K02000001,,,Total Value,,Acquisition
19317,Quarter,2006 Q3,K02000001,,,Total Value,,Acquisition
15711,Quarter,2006 Q4,K02000001,,,Total Value,,Acquisition
6394,Quarter,2007 Q1,K02000001,,,Total Value,,Acquisition
51511,Quarter,2007 Q2,K02000001,,,Total Value,,Acquisition
15044,Quarter,2007 Q3,K02000001,,,Total Value,,Acquisition
9172,Quarter,2007 Q4,K02000001,,,Total Value,,Acquisition
21086,Quarter,2008 Q1,K02000001,,,Total Value,,Acquisition
19964,Quarter,2008 Q2,K02000001,,,Total Value,,Acquisition
3228,Quarter,2008 Q3,K02000001,,,Total Value,,Acquisition
8274,Quarter,2008 Q4,K02000001,,,Total Value,,Acquisition
12354,Quarter,2009 Q1,K02000001,,,Total Value,,Acquisition
645,Quarter,2009 Q2,K02000001,,,Total Value,,Acquisition
3934,Quarter,2009 Q3,K02000001,,,Total Value,,Acquisition
15051,Quarter,2009 Q4,K02000001,,,Total Value,,Acquisition
14371,Quarter,2010 Q1,K02000001,,,Total Value,,Acquisition
2841,Quarter,2010 Q2,K02000001,,,Total Value,,Acquisition
12405,Quarter,2010 Q3,K02000001,,,Total Value,,Acquisition
7026,Quarter,2010 Q4,K02000001,,,Total Value,,Acquisition
5765,Quarter,2011 Q1,K02000001,,,Total Value,,Acquisition
9712,Quarter,2011 Q2,K02000001,,,Total Value,,Acquisition
5108,Quarter,2011 Q3,K02000001,,,Total Value,,Acquisition
12382,Quarter,2011 Q4,K02000001,,,Total Value,,Acquisition
4235,Quarter,2012 Q1,K02000001,,,Total Value,,Acquisition
2514,Quarter,2012 Q2,K02000001,,,Total Value,,Acquisition
8778,Quarter,2012 Q3,K02000001,,,Total Value,,Acquisition
1887,Quarter,2012 Q4,K02000001,,,Total Value,,Acquisition
3528,Quarter,2013 Q1,K02000001,,,Total Value,,Acquisition
23506,Quarter,2013 Q2,K02000001,,,Total Value,,Acquisition
2783,Quarter,2013 Q3,K02000001,,,Total Value,,Acquisition
2022,Quarter,2013 Q4,K02000001,,,Total Value,,Acquisition
5569,Quarter,2014 Q1,K02000001,,,Total Value,,Acquisition
1864,Quarter,2014 Q2,K02000001,,,Total Value,,Acquisition
3668,Quarter,2014 Q3,K02000001,,,Total Value,,Acquisition
3940,Quarter,2014 Q4,K02000001,,,Total Value,,Acquisition
6047,Quarter,2015 Q1,K02000001,,,Total Value,,Acquisition
9797,Quarter,2015 Q2,K02000001,,,Total Value,,Acquisition
8315,Quarter,2015 Q3,K02000001,,,Total Value,,Acquisition
9176,Quarter,2015 Q4,K02000001,,,Total Value,,Acquisition
50428,Quarter,2016 Q1,K02000001,,,Total Value,,Acquisition
22701,Quarter,2016 Q2,K02000001,,,Total Value,,Acquisition
31655,Quarter,2016 Q3,K02000001,,,Total Value,,Acquisition
85184,Quarter,2016 Q4,K02000001,,,Total Value,,Acquisition
9494,Quarter,2017 Q1,K02000001,,,Total Value,,Acquisition
2906,Quarter,2017 Q2,K02000001,,,Total Value,,Acquisition
265,Year,1986,K02000001,,,In USA,,Acquisition
225,Year,1987,K02000001,,,In USA,,Acquisition
872,Year,1988,K02000001,,,In USA,,Acquisition
5475,Year,1989,K02000001,,,In USA,,Acquisition
1785,Year,1990,K02000001,,,In USA,,Acquisition
1782,Year,1991,K02000001,,,In USA,,Acquisition
1591,Year,1992,K02000001,,,In USA,,Acquisition
2764,Year,1993,K02000001,,,In USA,,Acquisition
2115,Year,1994,K02000001,,,In USA,,Acquisition
4793,Year,1995,K02000001,,,In USA,,Acquisition
5824,Year,1996,K02000001,,,In USA,,Acquisition
9823,Year,1997,K02000001,,,In USA,,Acquisition
21898,Year,1998,K02000001,,,In USA,,Acquisition
22597,Year,1999,K02000001,,,In USA,,Acquisition
18844,Year,2000,K02000001,,,In USA,,Acquisition
7061,Year,2001,K02000001,,,In USA,,Acquisition
4192,Year,2002,K02000001,,,In USA,,Acquisition
5803,Year,2003,K02000001,,,In USA,,Acquisition
11809,Year,2004,K02000001,,,In USA,,Acquisition
11741,Year,2005,K02000001,,,In USA,,Acquisition
7606,Year,2006,K02000001,,,In USA,,Acquisition
14270,Year,2007,K02000001,,,In USA,,Acquisition
8269,Year,2008,K02000001,,,In USA,,Acquisition
11594,Year,2009,K02000001,,,In USA,,Acquisition
19124,Year,2010,K02000001,,,In USA,,Acquisition
21489,Year,2011,K02000001,,,In USA,,Acquisition
6217,Year,2012,K02000001,,,In USA,,Acquisition
3408,Year,2013,K02000001,,,In USA,,Acquisition
6318,Year,2014,K02000001,,,In USA,,Acquisition
11083,Year,2015,K02000001,,,In USA,,Acquisition
30313,Year,2016,K02000001,,,In USA,,Acquisition
1097,Year,1986,K02000001,,,In EU,,Acquisition
979,Year,1987,K02000001,,,In EU,,Acquisition
1158,Year,1988,K02000001,,,In EU,,Acquisition
3831,Year,1989,K02000001,,,In EU,,Acquisition
3409,Year,1990,K02000001,,,In EU,,Acquisition
1749,Year,1991,K02000001,,,In EU,,Acquisition
1603,Year,1992,K02000001,,,In EU,,Acquisition
941,Year,1993,K02000001,,,In EU,,Acquisition
2312,Year,1994,K02000001,,,In EU,,Acquisition
6697,Year,1995,K02000001,,,In EU,,Acquisition
1890,Year,1996,K02000001,,,In EU,,Acquisition
4084,Year,1997,K02000001,,,In EU,,Acquisition
5559,Year,1998,K02000001,,,In EU,,Acquisition
36875,Year,1999,K02000001,,,In EU,,Acquisition
41554,Year,2000,K02000001,,,In EU,,Acquisition
15820,Year,2001,K02000001,,,In EU,,Acquisition
11628,Year,2002,K02000001,,,In EU,,Acquisition
920,Year,2003,K02000001,,,In EU,,Acquisition
13936,Year,2004,K02000001,,,In EU,,Acquisition
23907,Year,2005,K02000001,,,In EU,,Acquisition
42412,Year,2006,K02000001,,,In EU,,Acquisition
27489,Year,2007,K02000001,,,In EU,,Acquisition
17918,Year,2008,K02000001,,,In EU,,Acquisition
15277,Year,2009,K02000001,,,In EU,,Acquisition
3856,Year,2010,K02000001,,,In EU,,Acquisition
6238,Year,2011,K02000001,,,In EU,,Acquisition
3533,Year,2012,K02000001,,,In EU,,Acquisition
4681,Year,2014,K02000001,,,In EU,,Acquisition
5816,Year,2015,K02000001,,,In EU,,Acquisition
125172,Year,2016,K02000001,,,In EU,,Acquisition
2544,Year,1987,K02000001,,,Indirect Funded Locally,,Disposal
1406,Year,1988,K02000001,,,Indirect Funded Locally,,Disposal
649,Year,1989,K02000001,,,Indirect Funded Locally,,Disposal
3008,Year,1990,K02000001,,,Indirect Funded Locally,,Disposal
410,Year,1991,K02000001,,,Indirect Funded Locally,,Disposal
745,Year,1992,K02000001,,,Indirect Funded Locally,,Disposal
1264,Year,1993,K02000001,,,Indirect Funded Locally,,Disposal
1277,Year,1994,K02000001,,,Indirect Funded Locally,,Disposal
1432,Year,1995,K02000001,,,Indirect Funded Locally,,Disposal
1276,Year,1996,K02000001,,,Indirect Funded Locally,,Disposal
2367,Year,1997,K02000001,,,Indirect Funded Locally,,Disposal
4800,Year,1998,K02000001,,,Indirect Funded Locally,,Disposal
3315,Year,1999,K02000001,,,Indirect Funded Locally,,Disposal
8769,Year,2000,K02000001,,,Indirect Funded Locally,,Disposal
5037,Year,2001,K02000001,,,Indirect Funded Locally,,Disposal
1167,Year,2002,K02000001,,,Indirect Funded Locally,,Disposal
459,Year,2003,K02000001,,,Indirect Funded Locally,,Disposal
1260,Year,2004,K02000001,,,Indirect Funded Locally,,Disposal
5215,Year,2005,K02000001,,,Indirect Funded Locally,,Disposal
1752,Year,2006,K02000001,,,Indirect Funded Locally,,Disposal
1178,Year,2007,K02000001,,,Indirect Funded Locally,,Disposal
3657,Year,2008,K02000001,,,Indirect Funded Locally,,Disposal
2917,Year,2010,K02000001,,,Indirect Funded Locally,,Disposal
980,Year,2011,K02000001,,,Indirect Funded Locally,,Disposal
355,Year,2014,K02000001,,,Indirect Funded Locally,,Disposal
1222,Year,2015,K02000001,,,Indirect Funded Locally,,Disposal
160,Year,1987,K02000001,,,Indirect Funded In UK,,Disposal
99,Year,1988,K02000001,,,Indirect Funded In UK,,Disposal
30,Year,1989,K02000001,,,Indirect Funded In UK,,Disposal
5,Year,1990,K02000001,,,Indirect Funded In UK,,Disposal
50,Year,1991,K02000001,,,Indirect Funded In UK,,Disposal
33,Year,1992,K02000001,,,Indirect Funded In UK,,Disposal
7,Year,1993,K02000001,,,Indirect Funded In UK,,Disposal
522,Year,1994,K02000001,,,Indirect Funded In UK,,Disposal
366,Year,1995,K02000001,,,Indirect Funded In UK,,Disposal
1034,Year,1996,K02000001,,,Indirect Funded In UK,,Disposal
1274,Year,1997,K02000001,,,Indirect Funded In UK,,Disposal
1609,Year,1998,K02000001,,,Indirect Funded In UK,,Disposal
1250,Year,1999,K02000001,,,Indirect Funded In UK,,Disposal
1860,Year,2006,K02000001,,,Indirect Funded In UK,,Disposal
1393,Year,2007,K02000001,,,Indirect Funded In UK,,Disposal
1021,Year,2008,K02000001,,,Indirect Funded In UK,,Disposal
71,Year,2010,K02000001,,,Indirect Funded In UK,,Disposal
598,Year,2011,K02000001,,,Indirect Funded In UK,,Disposal
323,Year,2014,K02000001,,,Indirect Funded In UK,,Disposal
0,Year,2015,K02000001,,,Indirect Funded In UK,,Disposal
2,Year,1986,K02000001,,,Indirect Funded Locally,,Disposal
139,Year,1987,K02000001,,,Indirect Funded Locally,,Disposal
181,Year,1988,K02000001,,,Indirect Funded Locally,,Disposal
339,Year,1989,K02000001,,,Indirect Funded Locally,,Disposal
75,Year,1990,K02000001,,,Indirect Funded Locally,,Disposal
539,Year,1991,K02000001,,,Indirect Funded Locally,,Disposal
548,Year,1992,K02000001,,,Indirect Funded Locally,,Disposal
295,Year,1993,K02000001,,,Indirect Funded Locally,,Disposal
692,Year,1994,K02000001,,,Indirect Funded Locally,,Disposal
238,Year,1995,K02000001,,,Indirect Funded Locally,,Disposal
19,Year,1996,K02000001,,,Indirect Funded Locally,,Disposal
740,Year,1997,K02000001,,,Indirect Funded Locally,,Disposal
184,Year,1998,K02000001,,,Indirect Funded Locally,,Disposal
963,Year,1999,K02000001,,,Indirect Funded Locally,,Disposal
443,Year,2000,K02000001,,,Indirect Funded Locally,,Disposal
2432,Year,2001,K02000001,,,Indirect Funded Locally,,Disposal
3610,Year,2002,K02000001,,,Indirect Funded Locally,,Disposal
2235,Year,2003,K02000001,,,Indirect Funded Locally,,Disposal
1581,Year,2004,K02000001,,,Indirect Funded Locally,,Disposal
2240,Year,2005,K02000001,,,Indirect Funded Locally,,Disposal
6039,Year,2006,K02000001,,,Indirect Funded Locally,,Disposal
3260,Year,2007,K02000001,,,Indirect Funded Locally,,Disposal
2972,Year,2008,K02000001,,,Indirect Funded Locally,,Disposal
1248,Year,2009,K02000001,,,Indirect Funded Locally,,Disposal
4002,Year,2010,K02000001,,,Indirect Funded Locally,,Disposal
1969,Year,2011,K02000001,,,Indirect Funded Locally,,Disposal
96,Year,2012,K02000001,,,Indirect Funded Locally,,Disposal
86,Year,1986,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1987,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1988,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1989,K02000001,,,Indirect By Overseas Parent,,Disposal
8,Year,1990,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1991,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1992,K02000001,,,Indirect By Overseas Parent,,Disposal
126,Year,1993,K02000001,,,Indirect By Overseas Parent,,Disposal
105,Year,1994,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,1995,K02000001,,,Indirect By Overseas Parent,,Disposal
53,Year,1996,K02000001,,,Indirect By Overseas Parent,,Disposal
156,Year,1997,K02000001,,,Indirect By Overseas Parent,,Disposal
101,Year,1998,K02000001,,,Indirect By Overseas Parent,,Disposal
232,Year,1999,K02000001,,,Indirect By Overseas Parent,,Disposal
471,Year,2000,K02000001,,,Indirect By Overseas Parent,,Disposal
504,Year,2001,K02000001,,,Indirect By Overseas Parent,,Disposal
85,Year,2002,K02000001,,,Indirect By Overseas Parent,,Disposal
391,Year,2003,K02000001,,,Indirect By Overseas Parent,,Disposal
369,Year,2004,K02000001,,,Indirect By Overseas Parent,,Disposal
1488,Year,2005,K02000001,,,Indirect By Overseas Parent,,Disposal
1923,Year,2006,K02000001,,,Indirect By Overseas Parent,,Disposal
226,Year,2007,K02000001,,,Indirect By Overseas Parent,,Disposal
682,Year,2008,K02000001,,,Indirect By Overseas Parent,,Disposal
0,Year,2009,K02000001,,,Indirect By Overseas Parent,,Disposal
928,Year,2010,K02000001,,,Indirect By Overseas Parent,,Disposal
1190,Year,2011,K02000001,,,Indirect By Overseas Parent,,Disposal
448,Year,1986,K02000001,,,Direct Transactions,,Disposal
1059,Year,1987,K02000001,,,Direct Transactions,,Disposal
488,Year,1988,K02000001,,,Direct Transactions,,Disposal
2678,Year,1989,K02000001,,,Direct Transactions,,Disposal
1118,Year,1990,K02000001,,,Direct Transactions,,Disposal
488,Year,1991,K02000001,,,Direct Transactions,,Disposal
859,Year,1992,K02000001,,,Direct Transactions,,Disposal
689,Year,1993,K02000001,,,Direct Transactions,,Disposal
679,Year,1994,K02000001,,,Direct Transactions,,Disposal
1273,Year,1995,K02000001,,,Direct Transactions,,Disposal
961,Year,1996,K02000001,,,Direct Transactions,,Disposal
582,Year,1997,K02000001,,,Direct Transactions,,Disposal
3186,Year,1998,K02000001,,,Direct Transactions,,Disposal
