V4_0,Time_codelist,Time,Geography_codelist,Geography,Transactions_codelist,Transactions,Flow_codelist,Flow
2179,Year,2002,K02000001,,,Indirect By Overseas Parent,,Acquisition
3033,Year,2003,K02000001,,,Indirect By Overseas Parent,,Acquisition
2897,Year,2004,K02000001,,,Indirect By Overseas Parent,,Acquisition
11379,Year,2005,K02000001,,,Indirect By Overseas Parent,,Acquisition
6123,Year,2006,K02000001,,,Indirect By Overseas Parent,,Acquisition
6941,Year,2007,K02000001,,,Indirect By Overseas Parent,,Acquisition
8739,Year,2008,K02000001,,,Indirect By Overseas Parent,,Acquisition
1687,Year,2010,K02000001,,,Indirect By Overseas Parent,,Acquisition
12598,Year,2011,K02000001,,,Indirect By Overseas Parent,,Acquisition
4217,Year,2012,K02000001,,,Indirect By Overseas Parent,,Acquisition
2702,Year,2014,K02000001,,,Indirect By Overseas Parent,,Acquisition
707,Year,2015,K02000001,,,Indirect By Overseas Parent,,Acquisition
2495,Year,2016,K02000001,,,Indirect By Overseas Parent,,Acquisition
9141,Year,1987,K02000001,,,In USA,,Acquisition
13729,Year,1988,K02000001,,,In USA,,Acquisition
17544,Year,1989,K02000001,,,In USA,,Acquisition
